benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.4434,0.0016,0.4409,0.4456,10,0,0
backprop,js,browserify,chromium38,0.7353,0.0253,0.7062,0.7855,10,1,2
backprop,js,browserify,firefox39,0.8015,0.0429,0.7403,0.8543,10,2,2
backprop,js,browserify,chrome63,0.7608,0.027,0.733,0.8296,20,3,2
backprop,c,wasm,chrome63,0.4219,0.0015,0.42,0.425,10,3,3
backprop,js,browserify,firefox57,0.8095,0.0131,0.7764,0.8261,10,4,2
backprop,c,wasm,firefox57,0.4171,0.0038,0.413,0.426,10,4,3
backprop,js,browserify,chromium63,0.81,0.0305,0.7659,0.8606,10,6,2
backprop,c,wasm,chromium63,0.4109,0.0048,0.407,0.421,10,6,3
bfs,cpp,g++,native,0.1044,0.0021,0.1034,0.1103,10,0,1
bfs,js,browserify,chromium38,0.2334,0.0052,0.2264,0.2474,30,1,2
bfs,js,browserify,firefox39,0.2192,0.0031,0.2162,0.2277,10,2,2
bfs,js,browserify,chrome63,0.2757,0.0017,0.2718,0.2781,10,3,2
bfs,cpp,wasm,chrome63,0.1496,0.002,0.148,0.155,10,3,3
bfs,js,browserify,firefox57,0.2154,0.005,0.2119,0.2328,30,4,2
bfs,cpp,wasm,firefox57,0.1102,0.0018,0.108,0.116,30,4,3
bfs,js,browserify,chromium63,0.2764,0.0134,0.2698,0.3443,30,6,2
bfs,cpp,wasm,chromium63,0.114,0.0018,0.111,0.118,30,6,3
crc,c,gcc,native,0.7556,0.0434,0.7295,0.8707,10,0,0
crc,js,browserify,chromium38,1.3389,0.05,1.2884,1.5035,42,1,2
crc,js,browserify,firefox39,2.6374,0.0238,2.5988,2.6824,10,2,2
crc,js,browserify,chrome63,0.9827,0.03,0.9053,1.0232,10,3,2
crc,c,wasm,chrome63,1.2013,0.0137,1.188,1.225,10,3,3
crc,js,browserify,firefox57,2.5821,0.0318,2.5515,2.6758,30,4,2
crc,c,wasm,firefox57,1.0372,0.0126,1.013,1.067,30,4,3
crc,js,browserify,chromium63,0.9289,0.037,0.9018,1.0388,30,6,2
crc,c,wasm,chromium63,0.9461,0.0188,0.882,0.98,30,6,3
fft,c,gcc,native,1.1289,0.0133,1.1146,1.1559,10,0,0
fft,js,browserify,chromium38,3.3252,0.1239,3.1856,3.8797,42,1,2
fft,js,browserify,firefox39,5.4165,0.2073,5.0995,5.7497,10,2,2
fft,js,browserify,chrome63,4.9922,0.0794,4.9002,5.1127,10,3,2
fft,c,wasm,chrome63,1.0798,0.0366,1.042,1.167,10,3,3
fft,js,browserify,firefox57,1.6278,0.026,1.6024,1.7128,30,4,2
fft,c,wasm,firefox57,0.8628,0.0279,0.821,0.959,30,4,3
fft,js,browserify,chromium63,5.012,0.0868,4.9292,5.1974,30,6,2
fft,c,wasm,chromium63,0.8557,0.0357,0.816,1.003,30,6,3
hmm,c,gcc,native,1.8158,0.0286,1.7817,1.8584,10,0,0
hmm,js,browserify,chromium38,3.6497,0.1197,3.5381,3.9495,42,1,2
hmm,js,browserify,firefox39,4.4234,0.0708,4.2754,4.5603,10,2,2
