benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.616,0.0154,0.5844,0.6405,10,0,0
backprop,c,wasm,chrome63,0.4914,0.0069,0.481,0.504,10,3,2
backprop,c,wasm,firefox57,0.4874,0.0143,0.478,0.526,10,4,2
backprop,c,wasm,safari11,1.0464,0.0092,1.031,1.069,30,5,2
bfs,cpp,g++,native,0.1715,0.0087,0.1521,0.1822,10,0,1
bfs,cpp,wasm,chrome63,0.1945,0.0116,0.177,0.224,30,3,2
bfs,cpp,wasm,firefox57,0.1634,0.0072,0.147,0.174,30,4,2
bfs,cpp,wasm,safari11,0.2172,0.0128,0.196,0.252,30,5,2
crc,c,gcc,native,0.9549,0.008,0.9394,0.9696,10,0,0
crc,c,wasm,chrome63,1.188,0.0155,1.163,1.215,30,3,2
crc,c,wasm,firefox57,1.1437,0.0349,1.106,1.301,30,4,2
crc,c,wasm,safari11,1.0584,0.0108,1.038,1.077,30,5,2
fft,c,gcc,native,1.5445,0.006,1.5359,1.5523,10,0,0
fft,c,wasm,chrome63,1.1151,0.0114,1.086,1.134,30,3,2
fft,c,wasm,firefox57,0.8661,0.011,0.855,0.916,30,4,2
fft,c,wasm,safari11,0.9166,0.0346,0.876,1.059,30,5,2
hmm,c,gcc,native,2.6249,0.1712,2.4314,2.9247,10,0,0
hmm,c,wasm,chrome63,2.8621,0.1427,2.681,3.392,30,3,2
hmm,c,wasm,firefox57,2.2801,0.0503,2.192,2.46,30,4,2
hmm,c,wasm,safari11,3.1014,0.0933,3.015,3.431,30,5,2
lavamd,c,gcc,native,0.9054,0.0047,0.8973,0.9161,10,0,0
lavamd,c,wasm,chrome63,1.4084,0.0299,1.382,1.551,30,3,2
lavamd,c,wasm,firefox57,1.4189,0.0154,1.399,1.476,30,4,2
lavamd,c,wasm,safari11,2.6738,0.0192,2.636,2.712,30,5,2
lud,c,gcc,native,2.0016,0.0403,1.9541,2.0959,10,0,0
lud,c,wasm,chrome63,2.3506,0.1064,2.215,2.637,30,3,2
lud,c,wasm,firefox57,2.1307,0.0705,1.98,2.344,30,4,2
lud,c,wasm,safari11,2.5538,0.054,2.469,2.704,30,5,2
nqueens,c,gcc,native,3.2585,0.0092,3.2444,3.2709,10,0,0
nqueens,c,wasm,chrome63,4.7775,0.0566,4.72,5.048,30,3,2
nqueens,c,wasm,firefox57,4.2169,0.0433,4.14,4.354,30,4,2
nqueens,c,wasm,safari11,5.027,0.1001,4.919,5.42,30,5,2
nw,c,gcc,native,0.1081,0.0017,0.1057,0.111,10,0,0
nw,c,wasm,chrome63,0.1688,0.0069,0.162,0.185,10,3,2
nw,c,wasm,firefox57,0.1827,0.0105,0.172,0.204,10,4,2
nw,c,wasm,safari11,0.9028,0.01,0.888,0.939,30,5,2
pagerank,c,gcc,native,0.3272,0.011,0.3163,0.3554,10,0,0
pagerank,c,wasm,chrome63,0.4266,0.056,0.375,0.558,30,3,2
pagerank,c,wasm,firefox57,0.3908,0.0084,0.381,0.415,30,4,2
pagerank,c,wasm,safari11,0.5465,0.0072,0.536,0.572,30,5,2
spmv,c,gcc,native,0.7738,0.0334,0.7384,0.8478,10,0,0
spmv,c,wasm,chrome63,1.1719,0.0291,1.126,1.262,30,3,2
spmv,c,wasm,firefox57,1.0236,0.0206,0.987,1.065,30,4,2
spmv,c,wasm,safari11,1.5793,0.0207,1.547,1.641,30,5,2
srad,c,gcc,native,3.2852,0.0295,3.2528,3.3516,10,0,0
srad,c,wasm,chrome63,3.6129,0.1012,3.518,4.085,30,3,2
srad,c,wasm,firefox57,3.1112,0.0299,3.062,3.162,30,4,2
srad,c,wasm,safari11,4.246,0.039,4.19,4.318,30,5,2
