benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.4434,0.0016,0.4409,0.4456,10,0,0
backprop,c,wasm,chrome63,0.4219,0.0015,0.42,0.425,10,3,2
backprop,c,wasm,firefox57,0.4171,0.0038,0.413,0.426,10,4,2
bfs,cpp,g++,native,0.1044,0.0021,0.1034,0.1103,10,0,1
bfs,cpp,wasm,chrome63,0.1496,0.002,0.148,0.155,10,3,2
bfs,cpp,wasm,firefox57,0.1102,0.0018,0.108,0.116,30,4,2
crc,c,gcc,native,0.7556,0.0434,0.7295,0.8707,10,0,0
crc,c,wasm,chrome63,1.2013,0.0137,1.188,1.225,10,3,2
crc,c,wasm,firefox57,1.0372,0.0126,1.013,1.067,30,4,2
fft,c,gcc,native,1.1289,0.0133,1.1146,1.1559,10,0,0
fft,c,wasm,chrome63,1.0798,0.0366,1.042,1.167,10,3,2
fft,c,wasm,firefox57,0.8628,0.0279,0.821,0.959,30,4,2
hmm,c,gcc,native,1.8158,0.0286,1.7817,1.8584,10,0,0
hmm,c,wasm,chrome63,2.4696,0.0818,2.424,2.698,10,3,2
hmm,c,wasm,firefox57,1.991,0.0462,1.874,2.147,31,4,2
lavamd,c,gcc,native,3.4651,0.0375,3.4261,3.5436,10,0,0
lavamd,c,wasm,chrome63,1.3137,0.0221,1.287,1.358,10,3,2
lavamd,c,wasm,firefox57,1.3826,0.0432,1.274,1.496,30,4,2
lud,c,gcc,native,0.6026,0.029,0.5703,0.6494,10,0,0
lud,c,wasm,chrome63,0.8495,0.1167,0.799,1.181,10,3,2
lud,c,wasm,firefox57,0.742,0.0652,0.693,1.022,30,4,2
nqueens,c,gcc,native,2.7059,0.0378,2.6663,2.7734,10,0,0
nqueens,c,wasm,chrome63,3.9922,0.0617,3.952,4.155,10,3,2
nqueens,c,wasm,firefox57,3.6386,0.0653,3.569,3.801,30,4,2
nw,c,gcc,native,0.1007,0.0073,0.0954,0.1142,10,0,0
nw,c,wasm,chrome63,0.1556,0.0111,0.145,0.176,10,3,2
nw,c,wasm,firefox57,0.134,0.0016,0.132,0.136,10,4,2
pagerank,c,gcc,native,0.6023,0.1622,0.1705,0.7113,10,0,0
pagerank,c,wasm,chrome63,0.7809,0.0049,0.778,0.794,10,3,2
pagerank,c,wasm,firefox57,0.2919,0.0123,0.25,0.327,30,4,2
spmv,c,gcc,native,0.6596,0.0289,0.6275,0.7191,10,0,0
spmv,c,wasm,chrome63,0.9746,0.015,0.964,1.016,10,3,2
spmv,c,wasm,firefox57,0.9242,0.0386,0.899,1.086,30,4,2
srad,c,gcc,native,2.8692,0.0346,2.831,2.9532,10,0,0
srad,c,wasm,chrome63,3.7024,0.0208,3.658,3.737,10,3,2
srad,c,wasm,firefox57,3.5365,0.0674,3.473,3.765,30,4,2
