benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.4584,0.0015,0.4566,0.4613,10,0,0
backprop,c,wasm,chrome63,0.3891,0.0011,0.387,0.391,10,3,2
backprop,c,wasm,firefox57,0.3845,0.0022,0.381,0.388,10,4,2
backprop,c,wasm,microsoft-edge,0.3997,0.0013,0.397,0.402,10,6,2
bfs,cpp,g++,native,0.1084,0.0015,0.1069,0.1117,10,0,1
bfs,cpp,wasm,chrome63,0.1565,0.004,0.151,0.168,30,3,2
bfs,cpp,wasm,firefox57,0.1222,0.001,0.121,0.125,30,4,2
bfs,cpp,wasm,microsoft-edge,0.1341,0.004,0.131,0.143,10,6,2
crc,c,gcc,native,0.7683,0.0015,0.7662,0.7706,10,0,0
crc,c,wasm,chrome63,1.1413,0.0108,1.126,1.158,30,3,2
crc,c,wasm,firefox57,0.9803,0.0038,0.975,0.993,30,4,2
crc,c,wasm,microsoft-edge,0.8844,0.004,0.878,0.89,10,6,2
fft,c,gcc,native,1.5854,0.0057,1.5805,1.6007,10,0,0
fft,c,wasm,chrome63,0.996,0.0066,0.985,1.011,30,3,2
fft,c,wasm,firefox57,0.7858,0.0107,0.774,0.815,30,4,2
fft,c,wasm,microsoft-edge,1.4141,0.0429,1.385,1.533,10,6,2
hmm,c,gcc,native,1.901,0.0074,1.8928,1.9162,10,0,0
hmm,c,wasm,chrome63,2.5872,0.5377,2.353,4.912,30,3,2
hmm,c,wasm,firefox57,1.9575,0.0118,1.941,1.999,30,4,2
hmm,c,wasm,microsoft-edge,2.0061,0.0232,1.984,2.066,10,6,2
lavamd,c,gcc,native,1.0711,0.0051,1.0647,1.0814,10,0,0
lavamd,c,wasm,chrome63,1.2475,0.0207,1.225,1.302,30,3,2
lavamd,c,wasm,firefox57,1.2813,0.0181,1.249,1.313,30,4,2
lavamd,c,wasm,microsoft-edge,1.49,0.0204,1.462,1.532,10,6,2
lud,c,gcc,native,1.9527,0.0053,1.9437,1.9601,10,0,0
lud,c,wasm,chrome63,1.9501,0.0155,1.923,1.99,30,3,2
lud,c,wasm,firefox57,2.0744,0.409,1.93,3.724,30,4,2
lud,c,wasm,microsoft-edge,1.9722,0.0255,1.947,2.019,10,6,2
nqueens,c,gcc,native,2.7709,0.0068,2.7618,2.7844,10,0,0
nqueens,c,wasm,chrome63,3.9802,0.0962,3.879,4.314,30,3,2
nqueens,c,wasm,firefox57,3.5281,0.0216,3.474,3.561,30,4,2
nqueens,c,wasm,microsoft-edge,4.6108,0.0777,4.531,4.742,10,6,2
nw,c,gcc,native,0.0514,0.0008,0.0503,0.0523,10,0,0
nw,c,wasm,chrome63,0.1437,0.0011,0.143,0.146,10,3,2
nw,c,wasm,firefox57,0.1404,0.0013,0.139,0.143,10,4,2
nw,c,wasm,microsoft-edge,0.116,0.0026,0.113,0.121,10,6,2
pagerank,c,gcc,native,0.7031,0.0024,0.699,0.7067,10,0,0
pagerank,c,wasm,chrome63,0.7498,0.0039,0.743,0.763,30,3,2
pagerank,c,wasm,firefox57,0.7074,0.0173,0.686,0.766,30,4,2
pagerank,c,wasm,microsoft-edge,0.7142,0.0054,0.706,0.726,10,6,2
spmv,c,gcc,native,0.6258,0.0075,0.6149,0.6387,10,0,0
spmv,c,wasm,chrome63,1.0561,0.0532,1.003,1.281,30,3,2
spmv,c,wasm,firefox57,0.959,0.0261,0.927,1.029,30,4,2
spmv,c,wasm,microsoft-edge,1.0425,0.1439,0.966,1.44,10,6,2
srad,c,gcc,native,3.0779,0.0128,3.0585,3.0976,10,0,0
srad,c,wasm,chrome63,3.7429,0.0453,3.689,3.913,30,3,2
srad,c,wasm,firefox57,3.4799,0.0049,3.472,3.492,30,4,2
srad,c,wasm,microsoft-edge,3.4286,0.0117,3.451,3.409,10,6,2
