benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,js,browserify,samsung-internet,1.2582,0.0305,1.2251,1.2957,10,0,0
backprop,js,browserify,chrome63,1.1236,0.0143,1.1051,1.1536,10,3,0
backprop,js,browserify,firefox57,3.2793,0.0969,3.128,3.4409,10,8,0
crc,js,browserify,samsung-internet,5.4615,0.1399,5.32,5.633,10,0,0
crc,js,browserify,chrome63,1.8914,0.0781,1.768,2.015,10,3,0
crc,js,browserify,firefox57,39.257,2.4154,36.384,42.588,10,8,0
fft,js,browserify,samsung-internet,11.5877,0.7951,10.4291,12.5791,10,0,0
fft,js,browserify,chrome63,23.4107,2.1397,19.5394,25.342,10,3,0
fft,js,browserify,firefox57,4.3703,0.285,3.7588,4.7003,10,8,0
hmm,js,browserify,samsung-internet,30.2613,1.6025,28.0967,32.9484,10,0,0
hmm,js,browserify,chrome63,32.3524,3.6874,26.2267,38.0129,10,3,0
hmm,js,browserify,firefox57,46.9167,0.7581,46.0483,48.7999,10,8,0
lavamd,js,browserify,samsung-internet,77.8506,9.8676,62.3044,92.1702,10,0,0
lavamd,js,browserify,chrome63,4.9502,0.1547,4.7424,5.1748,10,3,0
lavamd,js,browserify,firefox57,2.9701,0.2603,2.7052,3.3477,10,8,0
lud,js,browserify,samsung-internet,7.5571,0.4532,7.082,8.296,10,0,0
lud,js,browserify,chrome63,13.5368,0.8249,12.48,14.682,10,3,0
lud,js,browserify,firefox57,19.7935,1.1246,18.11,21.837,10,8,0
nqueens,js,browserify,samsung-internet,11.2575,0.8097,10.084,12.948,10,0,0
nqueens,js,browserify,chrome63,15.8656,1.0839,14.174,16.777,10,3,0
nqueens,js,browserify,firefox57,17.9965,2.3416,15.529,21.504,10,8,0
nw,js,browserify,samsung-internet,0.762,0.1362,0.5718,0.9137,10,0,0
nw,js,browserify,chrome63,0.6806,0.0196,0.647,0.7152,10,3,0
nw,js,browserify,firefox57,0.6057,0.0188,0.5795,0.6418,10,8,0
pagerank,js,browserify,samsung-internet,2.7284,0.3249,2.0429,3.0552,10,0,0
pagerank,js,browserify,chrome63,2.7661,0.1583,2.6215,3.124,10,3,0
pagerank,js,browserify,firefox57,2.1467,0.369,1.8976,3.1267,10,8,0
spmv,js,browserify,samsung-internet,11.7258,0.7293,10.8606,13.4477,10,0,0
spmv,js,browserify,chrome63,14.7521,0.8192,13.1731,15.5317,10,3,0
spmv,js,browserify,firefox57,6.2681,0.2301,5.7161,6.5394,10,8,0
srad,js,browserify,samsung-internet,30.0305,4.3233,24.4734,35.7192,10,0,0
srad,js,browserify,chrome63,37.9503,1.4565,36.4998,40.6546,10,3,0
srad,js,browserify,firefox57,32.2638,2.0853,30.1671,35.4862,10,8,0
