benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,wasm,node,0.4841,0.0023,0.482,0.488,10,1,2
backprop,js,browserify,node,0.855,0.0051,0.846,0.863,10,1,3
backprop,c,wasm,chrome63,0.4914,0.0069,0.481,0.504,10,2,2
backprop,js,browserify,chrome63,1.0397,0.285,0.789,1.5089,10,2,3
backprop,c,wasm,firefox57,0.4874,0.0143,0.478,0.526,10,3,2
backprop,js,browserify,firefox57,1.01,0.204,0.8829,1.3929,10,3,3
backprop,c,wasm,safari11,1.0464,0.0092,1.031,1.069,30,4,2
backprop,js,browserify,safari11,1.4515,0.0386,1.4222,1.6238,30,4,3
bfs,cpp,wasm,node,0.2143,0.0588,0.17,0.367,10,1,2
bfs,js,browserify,node,1.6655,0.2725,1.057,1.953,10,1,3
bfs,cpp,wasm,chrome63,0.1945,0.0116,0.177,0.224,30,2,2
bfs,js,browserify,chrome63,0.3478,0.0148,0.3237,0.3753,30,2,3
bfs,cpp,wasm,firefox57,0.1634,0.0072,0.147,0.174,30,3,2
bfs,js,browserify,firefox57,0.331,0.0156,0.3083,0.385,30,3,3
bfs,cpp,wasm,safari11,0.2172,0.0128,0.196,0.252,30,4,2
bfs,js,browserify,safari11,6.0331,0.4828,5.6491,7.8765,60,4,3
crc,c,wasm,node,0.9866,0.0099,0.974,1.002,10,1,2
crc,js,browserify,node,1.0544,0.0115,1.038,1.069,10,1,3
crc,c,wasm,chrome63,1.188,0.0155,1.163,1.215,30,2,2
crc,js,browserify,chrome63,1.0698,0.0494,1.042,1.322,30,2,3
crc,c,wasm,firefox57,1.1437,0.0349,1.106,1.301,30,3,2
crc,js,browserify,firefox57,2.9793,0.0205,2.934,3.024,30,3,3
crc,c,wasm,safari11,1.0584,0.0108,1.038,1.077,30,4,2
crc,js,browserify,safari11,1.1809,0.0155,1.154,1.224,30,4,3
fft,c,wasm,node,1.1016,0.0133,1.081,1.116,10,1,2
fft,js,browserify,node,2.5526,0.0186,2.526,2.587,10,1,3
fft,c,wasm,chrome63,1.1151,0.0114,1.086,1.134,30,2,2
fft,js,browserify,chrome63,6.0469,0.2928,5.8859,7.2532,30,2,3
fft,c,wasm,firefox57,0.8661,0.011,0.855,0.916,30,3,2
fft,js,browserify,firefox57,1.376,0.0195,1.3421,1.4328,30,3,3
