benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,wasm,node,5.3385,0.0251,5.298,5.393,30,1,2
backprop,js,browserify,node,9.8795,0.1049,9.759,10.241,30,1,3
backprop,js,browserify,chromium56,9.3714,0.0364,9.3296,9.462,10,5,3
bfs,cpp,wasm,node,2.0264,0.0114,2.012,2.068,30,1,2
bfs,js,browserify,node,7.9912,0.0864,7.891,8.112,30,1,3
bfs,js,browserify,chromium56,4.8534,0.0649,4.7595,4.9737,10,5,3
crc,c,wasm,node,7.8771,0.0549,7.819,7.994,30,1,2
crc,js,browserify,node,7.9768,0.0601,7.916,8.086,30,1,3
crc,js,browserify,chromium56,15.6839,0.0893,15.572,15.824,10,5,3
fft,c,wasm,node,10.7872,0.0907,10.647,11.01,30,1,2
fft,js,browserify,node,20.2561,0.2716,19.914,20.895,30,1,3
fft,js,browserify,chromium56,23.1345,0.2761,22.7967,23.4702,10,5,3
hmm,c,wasm,node,92.9389,0.5207,91.708,93.887,30,1,2
hmm,js,browserify,node,112.1745,0.322,111.278,112.869,30,1,3
hmm,js,browserify,chromium56,114.1229,6.0008,107.5562,121.8549,10,5,3
lavamd,c,wasm,node,11.9125,0.0277,11.866,11.958,30,1,2
lavamd,js,browserify,node,21.4689,0.0493,21.372,21.596,30,1,3
lavamd,js,browserify,chromium56,188.5133,1.166,186.9149,190.0896,10,5,3
lud,c,wasm,node,53.8421,0.4388,53.146,54.86,30,1,2
lud,js,browserify,node,66.7039,0.6501,65.029,67.576,30,1,3
lud,js,browserify,chromium56,69.2386,2.9708,63.878,71.178,10,5,3
nqueens,c,wasm,node,22.3044,0.0443,22.233,22.371,30,1,2
nqueens,js,browserify,node,46.6913,0.0829,46.614,46.817,30,1,3
nqueens,js,browserify,chromium56,36.0173,0.0713,35.931,36.099,10,5,3
nw,c,wasm,node,0.9754,0.0042,0.97,0.983,30,1,2
nw,js,browserify,node,2.8672,0.0222,2.842,2.944,30,1,3
nw,js,browserify,chromium56,1.9323,0.0112,1.9113,1.9521,10,5,3
pagerank,c,wasm,node,5.9288,0.0264,5.894,5.967,30,1,2
pagerank,js,browserify,node,9.348,0.0362,9.288,9.39,30,1,3
pagerank,js,browserify,chromium56,6.1553,0.0282,6.1149,6.1997,10,5,3
spmv,c,wasm,node,21.0818,0.0754,20.948,21.235,30,1,2
spmv,js,browserify,node,33.9186,0.122,33.723,34.269,30,1,3
spmv,js,browserify,chromium56,34.5156,0.1935,34.1092,34.791,10,5,3
srad,c,wasm,node,34.7474,0.2129,34.441,35.172,30,1,2
srad,js,browserify,node,79.6787,0.4355,79.021,80.972,30,1,3
srad,js,browserify,chromium56,75.5569,0.7623,74.5374,76.6822,10,5,3
