benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.616,0.0154,0.5844,0.6405,10,0,1
backprop,c,wasm,node,0.4841,0.0023,0.482,0.488,10,1,2
backprop,js,browserify,node,0.855,0.0051,0.846,0.863,10,1,3
bfs,cpp,g++,native,0.1715,0.0087,0.1521,0.1822,10,0,0
bfs,cpp,wasm,node,0.2143,0.0588,0.17,0.367,10,1,2
bfs,js,browserify,node,1.6655,0.2725,1.057,1.953,10,1,3
crc,c,gcc,native,0.9549,0.008,0.9394,0.9696,10,0,1
crc,c,wasm,node,0.9866,0.0099,0.974,1.002,10,1,2
crc,js,browserify,node,1.0544,0.0115,1.038,1.069,10,1,3
fft,c,gcc,native,1.5445,0.006,1.5359,1.5523,10,0,1
fft,c,wasm,node,1.1016,0.0133,1.081,1.116,10,1,2
fft,js,browserify,node,2.5526,0.0186,2.526,2.587,10,1,3
hmm,c,gcc,native,2.6249,0.1712,2.4314,2.9247,10,0,1
hmm,c,wasm,node,2.7365,0.0217,2.708,2.78,10,1,2
hmm,js,browserify,node,4.6197,0.2553,4.244,5.041,10,1,3
lavamd,c,gcc,native,0.9054,0.0047,0.8973,0.9161,10,0,1
lavamd,c,wasm,node,1.3972,0.0109,1.381,1.423,10,1,2
lavamd,js,browserify,node,2.0937,0.1,2.05,2.376,10,1,3
lud,c,gcc,native,2.0016,0.0403,1.9541,2.0959,10,0,1
lud,c,wasm,node,2.0826,0.039,2.026,2.152,10,1,2
lud,js,browserify,node,2.9178,0.0991,2.76,3.092,10,1,3
nqueens,c,gcc,native,3.2585,0.0092,3.2444,3.2709,10,0,1
nqueens,c,wasm,node,4.7497,0.0216,4.715,4.785,10,1,2
nqueens,js,browserify,node,7.2149,0.0605,7.106,7.317,10,1,3
nw,c,gcc,native,0.1081,0.0017,0.1057,0.111,10,0,1
nw,c,wasm,node,0.1626,0.0025,0.159,0.166,10,1,2
nw,js,browserify,node,0.3285,0.0036,0.323,0.334,10,1,3
pagerank,c,gcc,native,0.3272,0.011,0.3163,0.3554,10,0,1
pagerank,c,wasm,node,0.3994,0.0351,0.365,0.478,10,1,2
pagerank,js,browserify,node,0.6682,0.0139,0.651,0.702,10,1,3
spmv,c,gcc,native,0.7738,0.0334,0.7384,0.8478,10,0,1
spmv,c,wasm,node,1.0589,0.0098,1.047,1.081,10,1,2
spmv,js,browserify,node,2.1386,0.0279,2.111,2.206,10,1,3
srad,c,gcc,native,3.2852,0.0295,3.2528,3.3516,10,0,1
srad,c,wasm,node,3.643,0.0546,3.567,3.748,10,1,2
srad,js,browserify,node,7.8094,0.0531,7.738,7.92,10,1,3
