benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,4.7061,0.0135,4.6871,4.7246,10,0,1
backprop,c,wasm,node,5.3385,0.0251,5.298,5.393,30,1,2
backprop,js,browserify,node,9.8795,0.1049,9.759,10.241,30,1,3
bfs,cpp,g++,native,1.7305,0.0052,1.7244,1.7389,10,0,0
bfs,cpp,wasm,node,2.0264,0.0114,2.012,2.068,30,1,2
bfs,js,browserify,node,7.9912,0.0864,7.891,8.112,30,1,3
crc,c,gcc,native,3.0807,0.0132,3.068,3.1006,10,0,1
crc,c,wasm,node,7.8771,0.0549,7.819,7.994,30,1,2
crc,js,browserify,node,7.9768,0.0601,7.916,8.086,30,1,3
fft,c,gcc,native,9.935,0.0291,9.9049,9.9816,10,0,1
fft,c,wasm,node,10.7872,0.0907,10.647,11.01,30,1,2
fft,js,browserify,node,20.2561,0.2716,19.914,20.895,30,1,3
hmm,c,gcc,native,80.2364,0.534,79.4785,81.355,10,0,1
hmm,c,wasm,node,92.9389,0.5207,91.708,93.887,30,1,2
hmm,js,browserify,node,112.1745,0.322,111.278,112.869,30,1,3
lavamd,c,gcc,native,14.4871,0.0322,14.447,14.5363,10,0,1
lavamd,c,wasm,node,11.9125,0.0277,11.866,11.958,30,1,2
lavamd,js,browserify,node,21.4689,0.0493,21.372,21.596,30,1,3
lud,c,gcc,native,50.4256,2.8528,46.8266,53.122,10,0,1
lud,c,wasm,node,53.8421,0.4388,53.146,54.86,30,1,2
lud,js,browserify,node,66.7039,0.6501,65.029,67.576,30,1,3
nqueens,c,wasm,native,12.1646,0.0427,12.1128,12.2364,10,0,2
nqueens,c,wasm,node,22.3044,0.0443,22.233,22.371,30,1,2
nqueens,js,browserify,node,46.6913,0.0829,46.614,46.817,30,1,3
nw,c,gcc,native,0.3584,0.001,0.3568,0.3598,10,0,1
nw,c,wasm,node,0.9754,0.0042,0.97,0.983,30,1,2
nw,js,browserify,node,2.8672,0.0222,2.842,2.944,30,1,3
pagerank,c,gcc,native,4.3809,0.0163,4.3456,4.394,10,0,1
pagerank,c,wasm,node,5.9288,0.0264,5.894,5.967,30,1,2
pagerank,js,browserify,node,9.348,0.0362,9.288,9.39,30,1,3
spmv,c,gcc,native,14.0484,0.044,13.9895,14.1173,10,0,1
spmv,c,wasm,node,21.0818,0.0754,20.948,21.235,30,1,2
spmv,js,browserify,node,33.9186,0.122,33.723,34.269,30,1,3
srad,c,gcc,native,25.2152,0.8966,24.2902,26.5888,10,0,1
srad,c,wasm,node,34.7474,0.2129,34.441,35.172,30,1,2
srad,js,browserify,node,79.6787,0.4355,79.021,80.972,30,1,3
