benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.4434,0.0016,0.4409,0.4456,10,0,1
backprop,c,wasm,node,2.2497,0.0206,2.232,2.294,10,1,2
backprop,js,browserify,node,0.7142,0.006,0.707,0.725,10,1,3
bfs,cpp,g++,native,0.1044,0.0021,0.1034,0.1103,10,0,0
bfs,cpp,wasm,node,0.1352,0.0022,0.133,0.144,30,1,2
bfs,js,browserify,node,1.3297,0.0678,1.307,1.687,30,1,3
crc,c,gcc,native,0.7556,0.0434,0.7295,0.8707,10,0,1
crc,c,wasm,node,1.0244,0.0464,1.009,1.2,30,1,2
crc,js,browserify,node,0.9001,0.0422,0.886,1.074,30,1,3
fft,c,gcc,native,1.1289,0.0133,1.1146,1.1559,10,0,1
fft,c,wasm,node,0.9658,0.1113,0.933,1.554,30,1,2
fft,js,browserify,node,3.3655,0.0619,3.332,3.565,30,1,3
hmm,c,gcc,native,1.8158,0.0286,1.7817,1.8584,10,0,1
hmm,c,wasm,node,47.4534,0.1952,47.326,48.306,30,1,2
hmm,js,browserify,node,47.6717,0.2106,47.428,48.205,30,1,3
lavamd,c,gcc,native,3.4651,0.0375,3.4261,3.5436,10,0,1
lavamd,c,wasm,node,1.2746,0.0221,1.264,1.355,30,1,2
lavamd,js,browserify,node,3.762,0.0871,3.714,4.146,30,1,3
lud,c,gcc,native,0.6026,0.029,0.5703,0.6494,10,0,1
lud,c,wasm,node,0.8331,0.0096,0.814,0.865,30,1,2
lud,js,browserify,node,1.3525,0.0421,1.276,1.446,30,1,3
nqueens,c,gcc,native,2.7059,0.0378,2.6663,2.7734,10,0,1
nqueens,c,wasm,node,4.0442,0.183,3.989,5.006,30,1,2
nqueens,js,browserify,node,6.1517,0.0904,6.013,6.53,30,1,3
nw,c,gcc,native,0.1007,0.0073,0.0954,0.1142,10,0,1
nw,c,wasm,node,0.1764,0.01,0.151,0.185,10,1,2
nw,js,browserify,node,0.2822,0.0106,0.276,0.31,10,1,3
pagerank,c,gcc,native,0.6023,0.1622,0.1705,0.7113,10,0,1
pagerank,c,wasm,node,0.3306,0.0033,0.327,0.347,30,1,2
pagerank,js,browserify,node,0.589,0.0195,0.577,0.686,30,1,3
spmv,c,gcc,native,0.6596,0.0289,0.6275,0.7191,10,0,1
spmv,c,wasm,node,22.0882,0.0706,22.04,22.3,30,1,2
spmv,js,browserify,node,23.5859,0.2007,23.381,24.069,60,1,3
srad,c,gcc,native,2.8692,0.0346,2.831,2.9532,10,0,1
srad,c,wasm,node,47.741,1.6126,47.315,56.261,30,1,2
srad,js,browserify,node,55.8755,0.3237,55.524,56.678,30,1,3
