benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,0.4584,0.0015,0.4566,0.4613,10,0,1
backprop,c,wasm,node,0.397,0.0037,0.391,0.402,10,1,2
backprop,js,browserify,node,0.7616,0.0133,0.741,0.78,10,1,3
bfs,cpp,g++,native,0.1084,0.0015,0.1069,0.1117,10,0,0
bfs,cpp,wasm,node,0.1318,0.0079,0.125,0.141,30,1,2
bfs,js,browserify,node,0.8924,0.0049,0.89,0.907,30,1,3
crc,c,gcc,native,0.7683,0.0015,0.7662,0.7706,10,0,1
crc,c,wasm,node,0.9395,0.0054,0.937,0.953,30,1,2
crc,js,browserify,node,0.9094,0.0063,0.906,0.921,30,1,3
fft,c,gcc,native,1.5854,0.0057,1.5805,1.6007,10,0,1
fft,c,wasm,node,0.8932,0.0082,0.875,0.906,30,1,2
fft,js,browserify,node,2.0673,0.0204,2.046,2.156,30,1,3
hmm,c,gcc,native,1.901,0.0074,1.8928,1.9162,10,0,1
hmm,c,wasm,node,2.3383,0.0094,2.313,2.36,30,1,2
hmm,js,browserify,node,3.9533,0.0126,3.937,3.984,30,1,3
lavamd,c,gcc,native,1.0711,0.0051,1.0647,1.0814,10,0,1
lavamd,c,wasm,node,1.1857,0.0068,1.172,1.203,30,1,2
lavamd,js,browserify,node,1.7297,0.0083,1.718,1.75,30,1,3
lud,c,gcc,native,1.9527,0.0053,1.9437,1.9601,10,0,1
lud,c,wasm,node,1.9406,0.0388,1.875,2.0,30,1,2
lud,js,browserify,node,2.0072,0.0588,1.937,2.187,30,1,3
nqueens,c,gcc,native,2.7709,0.0068,2.7618,2.7844,10,0,1
nqueens,c,wasm,node,3.929,0.0271,3.907,4.047,30,1,2
nqueens,js,browserify,node,6.1319,0.0814,6.047,6.39,30,1,3
nw,c,gcc,native,0.0514,0.0008,0.0503,0.0523,10,0,1
nw,c,wasm,node,0.1375,0.001,0.136,0.139,10,1,2
nw,js,browserify,node,0.2824,0.0021,0.279,0.286,10,1,3
pagerank,c,gcc,native,0.7031,0.0024,0.699,0.7067,10,0,1
pagerank,c,wasm,node,0.7157,0.0064,0.703,0.719,30,1,2
pagerank,js,browserify,node,0.8627,0.0069,0.859,0.875,30,1,3
spmv,c,gcc,native,0.6258,0.0075,0.6149,0.6387,10,0,1
spmv,c,wasm,node,0.9079,0.0112,0.89,0.938,30,1,2
spmv,js,browserify,node,1.9709,0.0532,1.906,2.156,30,1,3
srad,c,gcc,native,3.0779,0.0128,3.0585,3.0976,10,0,1
srad,c,wasm,node,3.5789,0.0172,3.547,3.625,30,1,2
srad,js,browserify,node,6.6252,0.0648,6.515,6.75,30,1,3
