benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,4.7061,0.0135,4.6871,4.7246,10,0,1
backprop,c,wasm,chrome63,1.3944,0.01,1.376,1.414,30,1,2
backprop,js,browserify,chrome63,1.917,0.0251,1.8671,1.9805,30,1,3
backprop,c,wasm,firefox57,1.2553,0.0061,1.241,1.269,30,2,2
backprop,js,browserify,firefox57,2.7629,0.0661,2.7367,3.1086,30,2,3
bfs,cpp,g++,native,1.7305,0.0052,1.7244,1.7389,10,0,0
bfs,cpp,wasm,chrome63,0.5408,0.0188,0.523,0.624,30,1,2
bfs,js,browserify,chrome63,0.7967,0.0086,0.7858,0.8174,30,1,3
bfs,cpp,wasm,firefox57,0.4359,0.0153,0.418,0.497,30,2,2
bfs,js,browserify,firefox57,0.607,0.0111,0.5907,0.6466,30,2,3
crc,c,gcc,native,3.0807,0.0132,3.068,3.1006,10,0,1
crc,c,wasm,chrome63,3.044,0.0079,3.033,3.068,30,1,2
crc,js,browserify,chrome63,2.6508,0.0099,2.627,2.671,30,1,3
crc,c,wasm,firefox57,2.4623,0.0062,2.45,2.484,30,2,2
crc,js,browserify,firefox57,24.0266,0.0536,23.902,24.102,30,2,3
fft,c,gcc,native,9.935,0.0291,9.9049,9.9816,10,0,1
fft,c,wasm,chrome63,2.6537,0.0064,2.642,2.668,30,1,2
fft,js,browserify,chrome63,13.1609,0.0436,13.0564,13.2481,30,1,3
fft,c,wasm,firefox57,2.2403,0.0112,2.226,2.289,30,2,2
fft,js,browserify,firefox57,2.7188,0.0479,2.6146,2.8236,30,2,3
hmm,c,gcc,native,80.2364,0.534,79.4785,81.355,10,0,1
hmm,c,wasm,chrome63,7.2646,0.1549,7.01,7.654,30,1,2
hmm,js,browserify,chrome63,9.2207,0.2069,8.8388,9.6724,30,1,3
hmm,c,wasm,firefox57,5.6791,0.174,5.41,6.31,30,2,2
hmm,js,browserify,firefox57,9.8796,0.4718,9.0365,11.1186,30,2,3
lavamd,c,gcc,native,14.4871,0.0322,14.447,14.5363,10,0,1
lavamd,c,wasm,chrome63,2.8141,0.0088,2.796,2.831,30,1,2
lavamd,js,browserify,chrome63,3.8886,0.0079,3.877,3.9089,30,1,3
lavamd,c,wasm,firefox57,2.8892,0.0098,2.852,2.907,30,2,2
lavamd,js,browserify,firefox57,2.3428,0.0105,2.3292,2.3848,30,2,3
lud,c,gcc,native,50.4256,2.8528,46.8266,53.122,10,0,1
lud,c,wasm,chrome63,4.7282,0.1348,4.499,4.955,30,1,2
lud,js,browserify,chrome63,7.0907,0.1644,6.752,7.511,30,1,3
lud,c,wasm,firefox57,4.738,0.1231,4.489,4.974,30,2,2
lud,js,browserify,firefox57,17.534,1.7671,14.682,22.952,30,2,3
nqueens,c,wasm,native,12.1646,0.0427,12.1128,12.2364,10,0,2
nqueens,c,wasm,chrome63,8.8573,0.0179,8.822,8.9,30,1,2
nqueens,js,browserify,chrome63,12.7826,0.0313,12.683,12.828,30,1,3
nqueens,c,wasm,firefox57,7.1434,0.037,7.075,7.212,30,2,2
nqueens,js,browserify,firefox57,12.208,0.2294,11.761,12.532,30,2,3
nw,c,gcc,native,0.3584,0.001,0.3568,0.3598,10,0,1
nw,c,wasm,chrome63,0.338,0.0023,0.333,0.342,30,1,2
nw,js,browserify,chrome63,0.5799,0.003,0.5754,0.5871,30,1,3
nw,c,wasm,firefox57,0.316,0.0025,0.312,0.321,30,2,2
nw,js,browserify,firefox57,0.4253,0.0043,0.4167,0.432,30,2,3
pagerank,c,gcc,native,4.3809,0.0163,4.3456,4.394,10,0,1
pagerank,c,wasm,chrome63,0.9791,0.0365,0.888,1.047,30,1,2
pagerank,js,browserify,chrome63,1.7943,0.0135,1.7408,1.8119,30,1,3
pagerank,c,wasm,firefox57,1.0493,0.0181,1.006,1.075,30,2,2
pagerank,js,browserify,firefox57,1.6089,0.072,1.3161,1.7061,30,2,3
spmv,c,gcc,native,14.0484,0.044,13.9895,14.1173,10,0,1
spmv,c,wasm,chrome63,2.7994,0.0098,2.783,2.832,30,1,2
spmv,js,browserify,chrome63,4.7509,0.0142,4.7237,4.7935,30,1,3
spmv,c,wasm,firefox57,2.6166,0.0083,2.601,2.634,30,2,2
spmv,js,browserify,firefox57,5.3136,0.1069,5.111,5.5567,30,2,3
srad,c,gcc,native,25.2152,0.8966,24.2902,26.5888,10,0,1
srad,c,wasm,chrome63,9.4108,0.0847,9.062,9.495,30,1,2
srad,js,browserify,chrome63,17.7402,0.1151,17.5265,17.9108,30,1,3
srad,c,wasm,firefox57,8.9935,0.0253,8.958,9.078,30,2,2
srad,js,browserify,firefox57,15.3353,0.1247,14.8637,15.4664,30,2,3
