benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,c,gcc,native,4.7061,0.0135,4.6871,4.7246,10,0,1
backprop,js,browserify,chromium56,9.3714,0.0364,9.3296,9.462,10,4,3
bfs,cpp,g++,native,1.7305,0.0052,1.7244,1.7389,10,0,0
bfs,js,browserify,chromium56,4.8534,0.0649,4.7595,4.9737,10,4,3
crc,c,gcc,native,3.0807,0.0132,3.068,3.1006,10,0,1
crc,js,browserify,chromium56,15.6839,0.0893,15.572,15.824,10,4,3
fft,c,gcc,native,9.935,0.0291,9.9049,9.9816,10,0,1
fft,js,browserify,chromium56,23.1345,0.2761,22.7967,23.4702,10,4,3
hmm,c,gcc,native,80.2364,0.534,79.4785,81.355,10,0,1
hmm,js,browserify,chromium56,114.1229,6.0008,107.5562,121.8549,10,4,3
lavamd,c,gcc,native,14.4871,0.0322,14.447,14.5363,10,0,1
lavamd,js,browserify,chromium56,188.5133,1.166,186.9149,190.0896,10,4,3
lud,c,gcc,native,50.4256,2.8528,46.8266,53.122,10,0,1
lud,js,browserify,chromium56,69.2386,2.9708,63.878,71.178,10,4,3
nqueens,c,wasm,native,12.1646,0.0427,12.1128,12.2364,10,0,2
nqueens,js,browserify,chromium56,36.0173,0.0713,35.931,36.099,10,4,3
nw,c,gcc,native,0.3584,0.001,0.3568,0.3598,10,0,1
nw,js,browserify,chromium56,1.9323,0.0112,1.9113,1.9521,10,4,3
pagerank,c,gcc,native,4.3809,0.0163,4.3456,4.394,10,0,1
pagerank,js,browserify,chromium56,6.1553,0.0282,6.1149,6.1997,10,4,3
spmv,c,gcc,native,14.0484,0.044,13.9895,14.1173,10,0,1
spmv,js,browserify,chromium56,34.5156,0.1935,34.1092,34.791,10,4,3
srad,c,gcc,native,25.2152,0.8966,24.2902,26.5888,10,0,1
srad,js,browserify,chromium56,75.5569,0.7623,74.5374,76.6822,10,4,3
