benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,order_env,order_impl
backprop,js,browserify,chromium38,0.8596,0.1095,0.7689,1.0502,10,1,1
backprop,js,browserify,firefox39,1.1321,0.2389,0.8855,1.5806,10,2,1
backprop,c,wasm,chrome63,0.4914,0.0069,0.481,0.504,10,3,0
backprop,js,browserify,chrome63,1.0397,0.285,0.789,1.5089,10,3,1
backprop,c,wasm,firefox57,0.4874,0.0143,0.478,0.526,10,4,0
backprop,js,browserify,firefox57,1.01,0.204,0.8829,1.3929,10,4,1
backprop,c,wasm,safari11,1.0464,0.0092,1.031,1.069,30,5,0
backprop,js,browserify,safari11,1.4515,0.0386,1.4222,1.6238,30,5,1
bfs,js,browserify,chromium38,0.3391,0.0759,0.2372,0.5358,30,1,1
bfs,js,browserify,firefox39,0.415,0.0598,0.3836,0.725,30,2,1
bfs,cpp,wasm,chrome63,0.1945,0.0116,0.177,0.224,30,3,0
bfs,js,browserify,chrome63,0.3478,0.0148,0.3237,0.3753,30,3,1
bfs,cpp,wasm,firefox57,0.1634,0.0072,0.147,0.174,30,4,0
bfs,js,browserify,firefox57,0.331,0.0156,0.3083,0.385,30,4,1
bfs,cpp,wasm,safari11,0.2172,0.0128,0.196,0.252,30,5,0
bfs,js,browserify,safari11,6.0331,0.4828,5.6491,7.8765,60,5,1
crc,js,browserify,chromium38,1.4816,0.0139,1.455,1.515,30,1,1
crc,js,browserify,firefox39,4.6952,0.1241,4.519,5.121,30,2,1
crc,c,wasm,chrome63,1.188,0.0155,1.163,1.215,30,3,0
crc,js,browserify,chrome63,1.0698,0.0494,1.042,1.322,30,3,1
crc,c,wasm,firefox57,1.1437,0.0349,1.106,1.301,30,4,0
crc,js,browserify,firefox57,2.9793,0.0205,2.934,3.024,30,4,1
crc,c,wasm,safari11,1.0584,0.0108,1.038,1.077,30,5,0
crc,js,browserify,safari11,1.1809,0.0155,1.154,1.224,30,5,1
fft,js,browserify,chromium38,4.2384,0.0742,4.1603,4.6036,30,1,1
fft,js,browserify,firefox39,8.0984,0.4786,7.1237,8.8812,30,2,1
fft,c,wasm,chrome63,1.1151,0.0114,1.086,1.134,30,3,0
fft,js,browserify,chrome63,6.0469,0.2928,5.8859,7.2532,30,3,1
fft,c,wasm,firefox57,0.8661,0.011,0.855,0.916,30,4,0
fft,js,browserify,firefox57,1.376,0.0195,1.3421,1.4328,30,4,1
fft,c,wasm,safari11,0.9166,0.0346,0.876,1.059,30,5,0
fft,js,browserify,safari11,0.889,0.0337,0.8086,0.9241,30,5,1
hmm,js,browserify,chromium38,4.0216,0.4265,3.7624,5.6352,30,1,1
hmm,js,browserify,firefox39,6.5387,0.2138,6.2643,7.0952,30,2,1
hmm,c,wasm,chrome63,2.8621,0.1427,2.681,3.392,30,3,0
hmm,js,browserify,chrome63,4.9263,0.3509,4.3196,5.811,30,3,1
hmm,c,wasm,firefox57,2.2801,0.0503,2.192,2.46,30,4,0
hmm,js,browserify,firefox57,4.2046,0.3045,3.9699,5.1198,30,4,1
hmm,c,wasm,safari11,3.1014,0.0933,3.015,3.431,30,5,0
hmm,js,browserify,safari11,3.3805,0.2681,3.1489,4.2002,30,5,1
lavamd,js,browserify,chromium38,0.9702,0.012,0.948,1.0041,30,1,1
lavamd,js,browserify,firefox39,1.6776,0.0878,1.5565,1.8475,30,2,1
lavamd,c,wasm,chrome63,1.4084,0.0299,1.382,1.551,30,3,0
lavamd,js,browserify,chrome63,2.0787,0.01,2.0636,2.0976,30,3,1
lavamd,c,wasm,firefox57,1.4189,0.0154,1.399,1.476,30,4,0
lavamd,js,browserify,firefox57,1.4489,0.0155,1.4264,1.5043,30,4,1
lavamd,c,wasm,safari11,2.6738,0.0192,2.636,2.712,30,5,0
lavamd,js,browserify,safari11,1.5586,0.0234,1.4736,1.6166,30,5,1
lud,js,browserify,chromium38,3.8564,0.2933,3.539,4.407,10,1,1
lud,js,browserify,firefox39,4.2376,0.2888,3.896,5.282,30,2,1
lud,c,wasm,chrome63,2.3506,0.1064,2.215,2.637,30,3,0
lud,js,browserify,chrome63,3.314,0.1822,2.965,3.662,30,3,1
lud,c,wasm,firefox57,2.1307,0.0705,1.98,2.344,30,4,0
lud,js,browserify,firefox57,3.2922,0.1368,3.063,3.507,30,4,1
lud,c,wasm,safari11,2.5538,0.054,2.469,2.704,30,5,0
lud,js,browserify,safari11,2.619,0.1602,2.376,3.106,30,5,1
nqueens,js,browserify,chromium38,5.3251,0.04,5.228,5.384,30,1,1
nqueens,js,browserify,firefox39,12.5489,1.9818,8.494,14.007,30,2,1
nqueens,c,wasm,chrome63,4.7775,0.0566,4.72,5.048,30,3,0
nqueens,js,browserify,chrome63,7.0794,0.0585,7.006,7.279,30,3,1
nqueens,c,wasm,firefox57,4.2169,0.0433,4.14,4.354,30,4,0
nqueens,js,browserify,firefox57,6.4014,0.1091,6.177,6.615,30,4,1
nqueens,c,wasm,safari11,5.027,0.1001,4.919,5.42,30,5,0
nqueens,js,browserify,safari11,5.5401,0.055,5.448,5.654,30,5,1
nw,js,browserify,chromium38,0.3081,0.0377,0.2861,0.4083,10,1,1
nw,js,browserify,firefox39,0.2713,0.0599,0.2153,0.407,10,2,1
nw,c,wasm,chrome63,0.1688,0.0069,0.162,0.185,10,3,0
nw,js,browserify,chrome63,0.2921,0.0082,0.2821,0.3095,10,3,1
nw,c,wasm,firefox57,0.1827,0.0105,0.172,0.204,10,4,0
nw,js,browserify,firefox57,0.9145,0.0098,0.8933,0.935,30,4,1
nw,c,wasm,safari11,0.9028,0.01,0.888,0.939,30,5,0
nw,js,browserify,safari11,0.8805,0.0193,0.8349,0.912,30,5,1
pagerank,js,browserify,chromium38,0.4522,0.033,0.4309,0.615,30,1,1
pagerank,js,browserify,firefox39,0.5286,0.1096,0.4376,0.7361,30,2,1
pagerank,c,wasm,chrome63,0.4266,0.056,0.375,0.558,30,3,0
pagerank,js,browserify,chrome63,0.7488,0.0937,0.6717,0.9887,30,3,1
pagerank,c,wasm,firefox57,0.3908,0.0084,0.381,0.415,30,4,0
pagerank,js,browserify,firefox57,0.5679,0.0146,0.5328,0.6067,30,4,1
pagerank,c,wasm,safari11,0.5465,0.0072,0.536,0.572,30,5,0
pagerank,js,browserify,safari11,4.9341,0.0891,4.7936,5.1834,30,5,1
spmv,js,browserify,chromium38,2.0246,0.0693,1.9459,2.2322,30,1,1
spmv,js,browserify,firefox39,2.1503,0.5145,1.4291,2.589,30,2,1
spmv,c,wasm,chrome63,1.1719,0.0291,1.126,1.262,30,3,0
spmv,js,browserify,chrome63,2.1706,0.03,2.1166,2.2358,30,3,1
spmv,c,wasm,firefox57,1.0236,0.0206,0.987,1.065,30,4,0
spmv,js,browserify,firefox57,1.4961,0.0271,1.4437,1.5401,30,4,1
spmv,c,wasm,safari11,1.5793,0.0207,1.547,1.641,30,5,0
spmv,js,browserify,safari11,1.7429,0.0531,1.7113,2.0117,30,5,1
srad,js,browserify,chromium38,7.907,0.1665,7.7597,8.6892,30,1,1
srad,js,browserify,firefox39,9.4685,0.1732,9.2873,10.2938,30,2,1
srad,c,wasm,chrome63,3.6129,0.1012,3.518,4.085,30,3,0
srad,js,browserify,chrome63,8.0752,0.1625,7.8037,8.6446,30,3,1
srad,c,wasm,firefox57,3.1112,0.0299,3.062,3.162,30,4,0
srad,js,browserify,firefox57,6.4442,0.1909,6.2207,6.8669,30,4,1
srad,c,wasm,safari11,4.246,0.039,4.19,4.318,30,5,0
srad,js,browserify,safari11,5.5862,0.0926,5.4519,5.9214,30,5,1
