benchmark,implementation,compiler,environment,mean,std,min,max,iter
backprop,c,wasm,safari-iphoneSE,1.2687,0.0461,1.2280,1.4070,30
backprop,c,wasm,chrome-iphoneSE,1.2660,0.0494,1.2310,1.4200,30
backprop,c,wasm,firefox-iphoneSE,1.2642,0.0440,1.2300,1.4470,30
backprop,js,browserify,safari-iphoneSE,2.0497,0.1061,1.9935,2.5659,30
backprop,js,browserify,chrome-iphoneSE,2.4382,0.2091,2.1488,2.9922,62
backprop,js,browserify,firefox-iphoneSE,2.1303,0.2907,1.9839,3.3865,32
crc,c,wasm,safari-iphoneSE,2.0168,0.0133,2.0020,2.0510,30
crc,c,wasm,chrome-iphoneSE,2.0093,0.0073,2.0030,2.0280,30
crc,c,wasm,firefox-iphoneSE,2.0253,0.0091,2.0170,2.0580,30
crc,js,browserify,safari-iphoneSE,1.7080,0.0164,1.6800,1.7340,30
crc,js,browserify,chrome-iphoneSE,1.6892,0.0115,1.6670,1.7170,32
crc,js,browserify,firefox-iphoneSE,1.7060,0.0126,1.6810,1.7300,32
fft,c,wasm,safari-iphoneSE,1.5614,0.0167,1.5410,1.6010,30
fft,c,wasm,chrome-iphoneSE,1.5671,0.0177,1.5370,1.6140,30
fft,c,wasm,firefox-iphoneSE,1.5549,0.0259,1.5360,1.6780,30
fft,js,browserify,safari-iphoneSE,1.0116,0.0583,0.9650,1.2740,30
fft,js,browserify,chrome-iphoneSE,1.2195,0.3074,1.0490,2.0076,32
fft,js,browserify,firefox-iphoneSE,1.0908,0.0236,1.0571,1.1728,32
hmm,c,wasm,safari-iphoneSE,4.6580,0.0863,4.5740,4.8840,30
hmm,c,wasm,chrome-iphoneSE,4.6222,0.0475,4.5850,4.8270,30
hmm,c,wasm,firefox-iphoneSE,4.6773,0.0099,4.6540,4.6980,30
hmm,js,browserify,safari-iphoneSE,3.5615,0.0734,3.4585,3.7075,30
hmm,js,browserify,chrome-iphoneSE,3.5340,0.0326,3.4848,3.6032,32
hmm,js,browserify,firefox-iphoneSE,3.6158,0.0718,3.5259,3.8113,32
lavamd,c,wasm,safari-iphoneSE,3.1668,0.0887,3.0110,3.3680,30
lavamd,c,wasm,chrome-iphoneSE,3.1973,0.0835,3.0660,3.4840,30
lavamd,c,wasm,firefox-iphoneSE,3.1558,0.0101,3.1370,3.1750,30
lavamd,js,browserify,safari-iphoneSE,1.8014,0.0353,1.7561,1.8976,30
lavamd,js,browserify,chrome-iphoneSE,1.7831,0.0431,1.7297,1.9071,32
lavamd,js,browserify,firefox-iphoneSE,1.7654,0.0293,1.7262,1.8797,32
lud,c,wasm,safari-iphoneSE,4.3069,0.0802,4.2390,4.5310,30
lud,c,wasm,chrome-iphoneSE,4.2959,0.0492,4.2450,4.4540,30
lud,c,wasm,firefox-iphoneSE,4.3187,0.1060,4.2720,4.8310,30
lud,js,browserify,safari-iphoneSE,7.1098,0.9984,3.9100,8.6490,32
lud,js,browserify,chrome-iphoneSE,4.2161,0.3867,3.8870,6.1500,34
lud,js,browserify,firefox-iphoneSE,4.1128,0.1124,3.8490,4.4280,34
nqueens,c,wasm,safari-iphoneSE,8.4278,0.0585,8.3510,8.5570,30
nqueens,c,wasm,chrome-iphoneSE,8.4009,0.0511,8.3410,8.6340,30
nqueens,c,wasm,firefox-iphoneSE,8.3907,0.0594,8.3320,8.6690,30
nqueens,js,browserify,safari-iphoneSE,7.1531,0.0589,7.0170,7.3170,30
nqueens,js,browserify,chrome-iphoneSE,7.0834,0.0603,6.9290,7.2680,32
nqueens,js,browserify,firefox-iphoneSE,7.1237,0.0495,7.0610,7.2520,32
nw,c,wasm,safari-iphoneSE,0.3192,0.0037,0.3150,0.3250,30
nw,c,wasm,chrome-iphoneSE,0.3210,0.0045,0.3120,0.3320,30
nw,c,wasm,firefox-iphoneSE,0.3224,0.0044,0.3170,0.3370,30
nw,js,browserify,safari-iphoneSE,0.2908,0.0053,0.2804,0.3073,30
nw,js,browserify,chrome-iphoneSE,0.4899,0.0084,0.4818,0.5276,32
nw,js,browserify,firefox-iphoneSE,0.2931,0.0077,0.2858,0.3323,32
pagerank,c,wasm,safari-iphoneSE,0.9921,0.0095,0.9740,1.0130,30
pagerank,c,wasm,chrome-iphoneSE,0.9882,0.0262,0.9290,1.0170,30
pagerank,c,wasm,firefox-iphoneSE,1.0029,0.0138,0.9490,1.0140,30
pagerank,js,browserify,safari-iphoneSE,5.7083,0.0519,5.6521,5.8385,30
pagerank,js,browserify,chrome-iphoneSE,5.6584,0.0229,5.6228,5.7217,32
pagerank,js,browserify,firefox-iphoneSE,5.6836,0.0208,5.6591,5.7529,32
spmv,c,wasm,safari-iphoneSE,2.8614,0.0212,2.8310,2.9340,30
spmv,c,wasm,chrome-iphoneSE,2.8523,0.0369,2.8300,3.0340,30
spmv,c,wasm,firefox-iphoneSE,2.8574,0.0181,2.8490,2.9500,30
