benchmark,implementation,compiler,environment,mean,std,min,max,iter
backprop,js,browserify,safari-iphoneSE,2.0497,0.1061,1.9935,2.5659,30
backprop,js,browserify,chrome-iphoneSE,2.4382,0.2091,2.1488,2.9922,62
backprop,js,browserify,firefox-iphoneSE,2.1303,0.2907,1.9839,3.3865,32
crc,js,browserify,safari-iphoneSE,1.7080,0.0164,1.6800,1.7340,30
crc,js,browserify,chrome-iphoneSE,1.6892,0.0115,1.6670,1.7170,32
crc,js,browserify,firefox-iphoneSE,1.7060,0.0126,1.6810,1.7300,32
fft,js,browserify,safari-iphoneSE,1.0116,0.0583,0.9650,1.2740,30
fft,js,browserify,chrome-iphoneSE,1.2195,0.3074,1.0490,2.0076,32
fft,js,browserify,firefox-iphoneSE,1.0908,0.0236,1.0571,1.1728,32
hmm,js,browserify,safari-iphoneSE,3.5615,0.0734,3.4585,3.7075,30
hmm,js,browserify,chrome-iphoneSE,3.5340,0.0326,3.4848,3.6032,32
hmm,js,browserify,firefox-iphoneSE,3.6158,0.0718,3.5259,3.8113,32
lavamd,js,browserify,safari-iphoneSE,1.8014,0.0353,1.7561,1.8976,30
lavamd,js,browserify,chrome-iphoneSE,1.7831,0.0431,1.7297,1.9071,32
lavamd,js,browserify,firefox-iphoneSE,1.7654,0.0293,1.7262,1.8797,32
lud,js,browserify,safari-iphoneSE,7.1098,0.9984,3.9100,8.6490,32
lud,js,browserify,chrome-iphoneSE,4.2161,0.3867,3.8870,6.1500,34
lud,js,browserify,firefox-iphoneSE,4.1128,0.1124,3.8490,4.4280,34
nqueens,js,browserify,safari-iphoneSE,7.1531,0.0589,7.0170,7.3170,30
nqueens,js,browserify,chrome-iphoneSE,7.0834,0.0603,6.9290,7.2680,32
nqueens,js,browserify,firefox-iphoneSE,7.1237,0.0495,7.0610,7.2520,32
nw,js,browserify,safari-iphoneSE,0.2908,0.0053,0.2804,0.3073,30
nw,js,browserify,chrome-iphoneSE,0.4899,0.0084,0.4818,0.5276,32
nw,js,browserify,firefox-iphoneSE,0.2931,0.0077,0.2858,0.3323,32
pagerank,js,browserify,safari-iphoneSE,5.7083,0.0519,5.6521,5.8385,30
pagerank,js,browserify,chrome-iphoneSE,5.6584,0.0229,5.6228,5.7217,32
pagerank,js,browserify,firefox-iphoneSE,5.6836,0.0208,5.6591,5.7529,32
spmv,js,browserify,safari-iphoneSE,2.3987,0.0160,2.3751,2.4279,32
spmv,js,browserify,chrome-iphoneSE,2.4322,0.0561,2.3966,2.6260,34
spmv,js,browserify,firefox-iphoneSE,2.5019,0.0449,2.4222,2.6097,34
srad,js,browserify,safari-iphoneSE,6.4490,0.0689,6.2983,6.6085,30
srad,js,browserify,chrome-iphoneSE,6.2374,0.0492,6.1658,6.3344,32
srad,js,browserify,firefox-iphoneSE,6.2811,0.0470,6.2069,6.3829,32
