benchmark,implementation,compiler,environment,mean,std,min,max,iter
backprop,c,wasm,safari-iphoneSE,1.2687,0.0461,1.2280,1.4070,30
backprop,c,wasm,chrome-iphoneSE,1.2660,0.0494,1.2310,1.4200,30
backprop,c,wasm,firefox-iphoneSE,1.2642,0.0440,1.2300,1.4470,30
crc,c,wasm,safari-iphoneSE,2.0168,0.0133,2.0020,2.0510,30
crc,c,wasm,chrome-iphoneSE,2.0093,0.0073,2.0030,2.0280,30
crc,c,wasm,firefox-iphoneSE,2.0253,0.0091,2.0170,2.0580,30
fft,c,wasm,safari-iphoneSE,1.5614,0.0167,1.5410,1.6010,30
fft,c,wasm,chrome-iphoneSE,1.5671,0.0177,1.5370,1.6140,30
fft,c,wasm,firefox-iphoneSE,1.5549,0.0259,1.5360,1.6780,30
hmm,c,wasm,safari-iphoneSE,4.6580,0.0863,4.5740,4.8840,30
hmm,c,wasm,chrome-iphoneSE,4.6222,0.0475,4.5850,4.8270,30
hmm,c,wasm,firefox-iphoneSE,4.6773,0.0099,4.6540,4.6980,30
lavamd,c,wasm,safari-iphoneSE,3.1668,0.0887,3.0110,3.3680,30
lavamd,c,wasm,chrome-iphoneSE,3.1973,0.0835,3.0660,3.4840,30
lavamd,c,wasm,firefox-iphoneSE,3.1558,0.0101,3.1370,3.1750,30
lud,c,wasm,safari-iphoneSE,4.3069,0.0802,4.2390,4.5310,30
lud,c,wasm,chrome-iphoneSE,4.2959,0.0492,4.2450,4.4540,30
lud,c,wasm,firefox-iphoneSE,4.3187,0.1060,4.2720,4.8310,30
nqueens,c,wasm,safari-iphoneSE,8.4278,0.0585,8.3510,8.5570,30
nqueens,c,wasm,chrome-iphoneSE,8.4009,0.0511,8.3410,8.6340,30
nqueens,c,wasm,firefox-iphoneSE,8.3907,0.0594,8.3320,8.6690,30
nw,c,wasm,safari-iphoneSE,0.3192,0.0037,0.3150,0.3250,30
nw,c,wasm,chrome-iphoneSE,0.3210,0.0045,0.3120,0.3320,30
nw,c,wasm,firefox-iphoneSE,0.3224,0.0044,0.3170,0.3370,30
pagerank,c,wasm,safari-iphoneSE,0.9921,0.0095,0.9740,1.0130,30
pagerank,c,wasm,chrome-iphoneSE,0.9882,0.0262,0.9290,1.0170,30
pagerank,c,wasm,firefox-iphoneSE,1.0029,0.0138,0.9490,1.0140,30
spmv,c,wasm,safari-iphoneSE,2.8614,0.0212,2.8310,2.9340,30
spmv,c,wasm,chrome-iphoneSE,2.8523,0.0369,2.8300,3.0340,30
spmv,c,wasm,firefox-iphoneSE,2.8574,0.0181,2.8490,2.9500,30
srad,c,wasm,safari-iphoneSE,7.5166,0.1042,7.3310,7.7650,30
srad,c,wasm,chrome-iphoneSE,7.3612,0.0187,7.3320,7.4250,30
srad,c,wasm,firefox-iphoneSE,7.3901,0.0452,7.3600,7.5840,30
