benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,
lud,js,browserify,chrome-iphoneSE,4.2161s,0.3867s,3.8870s,6.1500s,34,
lud,js,browserify,firefox-iphoneSE,4.1128s,0.1124s,3.8490s,4.4280s,34,
lud,js,browserify,safari-iphoneSE,7.1098s,0.9984s,3.9100s,8.6490s,32,
lud,js,browserify,brave-iphoneSE,41.1240s,0.9697s,40.1780s,42.4770s,4,
spmv,js,browserify,chrome-iphoneSE,2.4322s,0.0561s,2.3966s,2.6260s,34,
spmv,js,browserify,firefox-iphoneSE,2.5019s,0.0449s,2.4222s,2.6097s,34,
spmv,js,browserify,safari-iphoneSE,2.3987s,0.0160s,2.3751s,2.4279s,32,
spmv,js,browserify,brave-iphneSE,71.5774s,0.5765s,71.1697s,71.9850s,2,
backprop,js,browserify,chrome-iphoneSE,2.4382s,0.2091s,2.1488s,2.9922s,62,
backprop,js,browserify,firefox-iphoneSE,2.1303s,0.2907s,1.9839s,3.3865s,32,
backprop,js,browserify,brave-iphoneSE,10.6397s,0.1556s,10.5297s,10.7497s,2,
crc,js,browserify,firefox-iphoneSE,1.7060s,0.0126s,1.6810s,1.7300s,32,
crc,js,browserify,chrome-iphoneSE,1.6892s,0.0115s,1.6670s,1.7170s,32,
crc,js,browserify,brave-iphoneSE,84.8175s,0.0431s,84.7870s,84.8480s,2,
fft,js,browserify,chrome-iphoneSE,1.2195s,0.3074s,1.0490s,2.0076s,32,
fft,js,browserify,firefox-iphoneSE,1.0908s,0.0236s,1.0571s,1.1728s,32,
fft,js,browserify,brave-iphoneSE,16.0605s,0.0513s,16.0242s,16.0967s,2,
hmm,js,browserify,chrome-iphoneSE,3.5340s,0.0326s,3.4848s,3.6032s,32,
hmm,js,browserify,firefox-iphoneSE,3.6158s,0.0718s,3.5259s,3.8113s,32,
hmm,js,browserify,brave-iphoneSE,120.1837s,0.9540s,119.5091s,120.8582s,2,
lavamd,js,browserify,chrome-iphoneSE,1.7831s,0.0431s,1.7297s,1.9071s,32,
lavamd,js,browserify,firefox-iphoneSE,1.7654s,0.0293s,1.7262s,1.8797s,32,
lavamd,js,browserify,brave-iphoneSE,25.6059s,0.0014s,25.6049s,25.6069s,2,
nqueens,js,browserify,chrome-iphoneSE,7.0834s,0.0603s,6.9290s,7.2680s,32,
nqueens,js,browserify,brave-iphoneSE,109.8190s,1.7565s,108.5770s,111.0610s,2,
nw,js,browserify,chrome-iphoneSE,0.4899s,0.0084s,0.4818s,0.5276s,32,
nqueens,js,browserify,firefox-iphoneSE,7.1237s,0.0495s,7.0610s,7.2520s,32,
nw,js,browserify,firefox-iphoneSE,0.2931s,0.0077s,0.2858s,0.3323s,32,
nw,js,browserify,brave-iphoneSE,9.4193s,0.0021s,9.4178s,9.4208s,2,
pagerank,js,browserify,chrome-iphoneSE,5.6584s,0.0229s,5.6228s,5.7217s,32,
pagerank,js,browserify,firefox-iphoneSE,5.6836s,0.0208s,5.6591s,5.7529s,32,
pagerank,js,browserify,brave-iphoneSE,156.6153s,1.6148s,155.4734s,157.7571s,2,
srad,js,browserify,chrome-iphoneSE,6.2374s,0.0492s,6.1658s,6.3344s,32,
srad,js,browserify,firefox-iphoneSE,6.2811s,0.0470s,6.2069s,6.3829s,32,
srad,js,browserify,brave-iphoneSE,270.0565s,15.1216s,259.3639s,280.7491s,2,
lud,c,wasm,chrome-iphoneSE,4.2959s,0.0492s,4.2450s,4.4540s,30,
lud,c,wasm,firefox-iphoneSE,4.3187s,0.1060s,4.2720s,4.8310s,30,
spmv,c,wasm,chrome-iphoneSE,2.8523s,0.0369s,2.8300s,3.0340s,30,
spmv,c,wasm,firefox-iphoneSE,2.8574s,0.0181s,2.8490s,2.9500s,30,
backprop,c,wasm,chrome-iphoneSE,1.2660s,0.0494s,1.2310s,1.4200s,30,
backprop,c,wasm,firefox-iphoneSE,1.2642s,0.0440s,1.2300s,1.4470s,30,
crc,c,wasm,chrome-iphoneSE,2.0093s,0.0073s,2.0030s,2.0280s,30,
crc,c,wasm,firefox-iphoneSE,2.0253s,0.0091s,2.0170s,2.0580s,30,
fft,c,wasm,chrome-iphoneSE,1.5671s,0.0177s,1.5370s,1.6140s,30,
fft,c,wasm,firefox-iphoneSE,1.5549s,0.0259s,1.5360s,1.6780s,30,
lavamd,c,wasm,chrome-iphoneSE,3.1973s,0.0835s,3.0660s,3.4840s,30,
hmm,c,wasm,chrome-iphoneSE,4.6222s,0.0475s,4.5850s,4.8270s,30,
lavamd,c,wasm,firefox-iphoneSE,3.1558s,0.0101s,3.1370s,3.1750s,30,
nqueens,c,wasm,chrome-iphoneSE,8.4009s,0.0511s,8.3410s,8.6340s,30,
nqueens,c,wasm,firefox-iphoneSE,8.3907s,0.0594s,8.3320s,8.6690s,30,
nw,c,wasm,chrome-iphoneSE,0.3210s,0.0045s,0.3120s,0.3320s,30,
nw,c,wasm,firefox-iphoneSE,0.3224s,0.0044s,0.3170s,0.3370s,30,
pagerank,c,wasm,chrome-iphoneSE,0.9882s,0.0262s,0.9290s,1.0170s,30,
srad,c,wasm,chrome-iphoneSE,7.3612s,0.0187s,7.3320s,7.4250s,30,
srad,c,wasm,firefox-iphoneSE,7.3901s,0.0452s,7.3600s,7.5840s,30,
hmm,c,wasm,firefox-iphoneSE,4.6773s,0.0099s,4.6540s,4.6980s,30,
lud,c,wasm,safari-iphoneSE,4.3069s,0.0802s,4.2390s,4.5310s,30,
spmv,c,wasm,safari-iphoneSE,2.8614s,0.0212s,2.8310s,2.9340s,30,
backprop,js,browserify,safari-iphoneSE,2.0497s,0.1061s,1.9935s,2.5659s,30,
pagerank,c,wasm,firefox-iphoneSE,1.0029s,0.0138s,0.9490s,1.0140s,30,
crc,js,browserify,safari-iphoneSE,1.7080s,0.0164s,1.6800s,1.7340s,30,
backprop,c,wasm,safari-iphoneSE,1.2687s,0.0461s,1.2280s,1.4070s,30,
crc,c,wasm,safari-iphoneSE,2.0168s,0.0133s,2.0020s,2.0510s,30,
fft,js,browserify,safari-iphoneSE,1.0116s,0.0583s,0.9650s,1.2740s,30,
