benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,cpp,g++,0.1715,0.0087,0.1521,0.1822,10,0.1684,0.1697,0.1788,0.1822,0.1654,0.1731,0.1704,0.1521,0.1801,0.1742
lud,c,gcc,2.0016,0.0403,1.9541,2.0959,10,1.9818,2.0959,1.9541,2.0356,2.0088,1.9930,1.9995,1.9689,2.0036,1.9745
spmv,c,gcc,0.7738,0.0334,0.7384,0.8478,10,0.8140,0.7705,0.7580,0.7704,0.7464,0.7531,0.7595,0.8478,0.7801,0.7384
backprop,c,gcc,0.6160,0.0154,0.5844,0.6405,10,0.6216,0.6161,0.6106,0.6343,0.5844,0.6187,0.6121,0.6405,0.6056,0.6157
crc,c,gcc,0.9549,0.0080,0.9394,0.9696,10,0.9533,0.9535,0.9609,0.9566,0.9572,0.9586,0.9514,0.9394,0.9481,0.9696
fft,c,gcc,1.5445,0.0060,1.5359,1.5523,10,1.5520,1.5401,1.5408,1.5523,1.5424,1.5359,1.5465,1.5504,1.5375,1.5467
hmm,c,gcc,2.6249,0.1712,2.4314,2.9247,10,2.8698,2.7333,2.9247,2.5439,2.6005,2.6490,2.5732,2.4819,2.4314,2.4412
lavamd,c,gcc,0.9054,0.0047,0.8973,0.9161,10,0.9018,0.8973,0.9054,0.9056,0.9060,0.9051,0.9044,0.9067,0.9161,0.9060
nqueens,c,gcc,3.2585,0.0092,3.2444,3.2709,10,3.2448,3.2598,3.2444,3.2535,3.2633,3.2615,3.2637,3.2709,3.2538,3.2693
nw,c,gcc,0.1081,0.0017,0.1057,0.1110,10,0.1057,0.1091,0.1067,0.1066,0.1101,0.1069,0.1091,0.1071,0.1110,0.1083
pagerank,c,gcc,0.3272,0.0110,0.3163,0.3554,10,0.3177,0.3283,0.3279,0.3163,0.3257,0.3274,0.3204,0.3223,0.3311,0.3554
srad,c,gcc,3.2852,0.0295,3.2528,3.3516,10,3.3516,3.2799,3.3055,3.2577,3.2628,3.2528,3.3074,3.2763,3.2797,3.2778
