benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29
bfs,js,browserify,7.9912,0.0864,7.8910,8.1120,30,8.0720,8.0650,8.0840,8.1110,8.0400,8.1010,8.1040,8.1060,8.1000,8.0950,8.0940,7.9050,8.1120,7.9630,7.9050,7.9600,7.9000,7.9460,7.9630,7.9560,7.8990,7.9390,7.9030,7.8970,7.8910,7.9070,7.9630,7.8950,7.9600,7.8990
bfs,cpp,server-wasm,2.0264,0.0114,2.0120,2.0680,30,2.0130,2.0300,2.0330,2.0130,2.0330,2.0140,2.0190,2.0680,2.0300,2.0140,2.0270,2.0120,2.0300,2.0170,2.0290,2.0190,2.0300,2.0140,2.0300,2.0270,2.0290,2.0300,2.0320,2.0350,2.0150,2.0280,2.0150,2.0330,2.0360,2.0370
spmv,c,server-wasm,21.0818,0.0754,20.9480,21.2350,30,21.0540,21.0960,21.0810,20.9480,21.1300,21.0130,21.1940,21.0050,21.0900,21.0840,21.0020,20.9890,21.0350,21.0620,20.9860,20.9680,21.1800,21.1580,20.9640,21.0200,21.1560,21.2350,21.1560,21.1530,21.1380,21.1090,21.1100,21.1220,21.1220,21.0940
lud,js,browserify,66.7039,0.6501,65.0290,67.5760,30,67.1090,66.9590,66.8700,67.4110,66.0640,67.3210,65.6110,65.8840,66.9380,66.0010,67.2920,67.0240,67.1640,67.3610,66.2330,65.9350,66.4420,66.8740,67.2310,67.5040,66.9800,67.0100,65.0290,67.1160,66.6860,66.0910,67.1170,67.5760,66.5220,65.7610
lud,c,server-wasm,53.8421,0.4388,53.1460,54.8600,30,54.2270,53.7710,53.6020,53.8620,53.8280,53.1460,53.3660,53.8790,53.6810,53.7530,54.0460,53.4940,54.2210,54.0320,53.2690,53.3020,54.1290,53.6980,53.4350,53.4640,54.8600,54.7370,54.5670,53.5210,54.0080,54.5230,53.8300,53.6200,53.3780,54.0130
spmv,js,browserify,33.9186,0.1220,33.7230,34.2690,30,34.2690,33.7400,33.7840,33.9770,33.9560,34.0250,34.0580,33.8690,33.9260,33.7350,33.7920,34.0210,33.7990,34.0410,33.9660,33.9900,33.9950,33.9740,33.9820,33.9230,33.7910,34.0070,33.8090,33.7600,34.0000,33.7230,33.9490,33.8560,33.9080,33.9320
backprop,c,server-wasm,5.3385,0.0251,5.2980,5.3930,30,5.3430,5.3470,5.3660,5.3520,5.3480,5.3370,5.3490,5.3120,5.3160,5.2980,5.3440,5.3320,5.3300,5.3590,5.3560,5.3060,5.3400,5.3430,5.3500,5.3060,5.3470,5.3120,5.3480,5.3070,5.3070,5.3920,5.3040,5.3720,5.3930,5.3380
backprop,js,browserify,9.8795,0.1049,9.7590,10.2410,30,10.2410,9.8190,9.9470,9.7830,9.7710,9.8370,9.8690,9.7840,9.9760,9.7590,10.0120,9.9780,9.9590,9.8200,9.8310,9.8520,9.8020,9.8340,9.8080,9.8560,9.8760,9.8340,9.8600,9.9060,9.8660,10.0820,9.8160,9.9820,9.8450,9.7790
fft,js,browserify,20.2561,0.2716,19.9140,20.8950,30,20.0570,20.2410,19.9460,20.1890,19.9510,20.7750,19.9690,20.2790,20.5440,20.1300,20.3110,20.0900,20.2530,20.7270,20.0280,20.1420,19.9140,20.2970,19.9740,19.9270,20.0710,20.0840,20.5240,20.4600,20.0760,20.3450,20.6460,20.4320,20.4060,20.8950
crc,js,browserify,7.9768,0.0601,7.9160,8.0860,30,7.9190,7.9190,8.0080,8.0860,8.0520,8.0640,7.9810,8.0560,7.9360,7.9200,8.0080,7.9220,7.9210,7.9210,7.9990,7.9390,8.0820,7.9950,7.9390,8.0810,7.9710,7.9720,7.9330,7.9180,7.9850,7.9490,7.9160,7.9250,7.9180,8.0700
