benchmark,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29
backprop,1.8031,0.0364,1.6898,1.8521,30,1.8521,1.8076,1.6898,1.7973,1.7949,1.7862,1.7942,1.7946,1.8362,1.7978,1.8070,1.8237,1.8005,1.7177,1.8225,1.7941,1.8097,1.8042,1.8018,1.7996,1.8024,1.7207,1.8248,1.8117,1.8367,1.8393,1.8205,1.8434,1.8316,1.8305
crc,2.7744,0.0473,2.7378,2.9896,30,2.7530,2.7517,2.7622,2.7642,2.7378,2.7647,2.7382,2.7641,2.7528,2.7593,2.7826,2.7798,2.7738,2.7728,2.7416,2.7549,2.7750,2.7544,2.7463,2.7778,2.7651,2.7448,2.8673,2.7544,2.7870,2.7732,2.7606,2.9896,2.7932,2.7897
bfs,0.2201,0.0023,0.2168,0.2258,30,0.2258,0.2198,0.2200,0.2187,0.2182,0.2234,0.2240,0.2172,0.2202,0.2189,0.2218,0.2226,0.2168,0.2211,0.2199,0.2181,0.2174,0.2182,0.2209,0.2226,0.2213,0.2213,0.2200,0.2241,0.2187,0.2195,0.2180,0.2204,0.2175,0.2175
fft,4.1097,0.0627,4.0009,4.2117,30,4.2018,4.0905,4.0381,4.0898,4.1440,4.2117,4.1209,4.0773,4.1798,4.0922,4.1471,4.0586,4.1061,4.1373,4.1653,4.0290,4.1775,4.0037,4.0379,4.0951,4.0617,4.1466,4.0564,4.1588,4.1835,4.1341,4.0009,4.1573,4.0027,4.1839
lavamd,2.0716,0.0343,2.0220,2.1302,30,2.1265,2.0267,2.1299,2.1302,2.0296,2.0865,2.0235,2.0731,2.0847,2.0319,2.0220,2.1057,2.0723,2.0534,2.0755,2.0418,2.0708,2.0278,2.0786,2.1175,2.0769,2.0393,2.1004,2.1082,2.0860,2.0461,2.0972,2.0704,2.0894,2.0254
hmm,4.4997,0.0511,4.4195,4.6114,30,4.4730,4.6114,4.4878,4.4430,4.5111,4.4458,4.5222,4.4370,4.5602,4.4748,4.4864,4.6027,4.4692,4.4871,4.5276,4.4352,4.5278,4.5551,4.5439,4.4811,4.4195,4.5057,4.5805,4.4846,4.5153,4.4916,4.4619,4.4537,4.4373,4.5584
nqueens,5.1704,0.0976,5.0370,5.4120,30,5.0960,5.0910,5.1080,5.2810,5.1130,5.2320,5.3280,5.1810,5.1890,5.0440,5.0860,5.1560,5.1550,5.2410,5.4030,5.1130,5.0650,5.1020,5.4120,5.1750,5.1060,5.1650,5.0370,5.1190,5.3150,5.1670,5.1410,5.1420,5.1090,5.2390
nw,0.9458,0.0604,0.7689,1.0264,30,0.9569,0.9697,0.9487,0.9524,0.9377,0.9541,0.9487,1.0127,0.9838,0.9798,0.9977,1.0264,0.7735,0.9601,0.9561,0.9600,0.9508,0.9502,0.9482,0.7689,0.9643,0.9544,0.9558,0.9644,0.7882,0.9652,0.9623,0.9536,0.9589,0.9720
pagerank,0.4931,0.1333,0.4335,0.8528,30,0.8528,0.8114,0.8155,0.8269,0.4380,0.4423,0.4427,0.4503,0.4387,0.4380,0.4394,0.4375,0.4335,0.4446,0.4443,0.4379,0.4412,0.4376,0.4380,0.4508,0.4375,0.4408,0.4646,0.4399,0.4342,0.4416,0.4417,0.4410,0.4490,0.4412
spmv,1.2013,0.0724,1.1385,1.5554,30,1.1923,1.2135,1.1793,1.5554,1.1751,1.1680,1.1826,1.1629,1.2087,1.2404,1.1977,1.1760,1.1890,1.1587,1.1927,1.1782,1.1707,1.2386,1.1659,1.1630,1.2038,1.2400,1.2019,1.1890,1.1385,1.2513,1.1654,1.1797,1.2098,1.1517
srad,7.4233,0.4662,6.2080,7.8199,30,7.8199,6.5646,7.7920,7.5239,7.5999,7.6362,7.5886,6.3407,7.6397,7.6190,7.6842,7.5541,6.2080,7.5709,7.6045,7.6422,7.6987,7.6581,7.5358,7.6102,6.4830,7.6685,7.6064,7.5940,7.5694,7.6792,7.5295,7.6159,6.4804,7.5829
