benchmark,implementation,compiler,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29
backprop,js,browserify,1.5215,0.0247,1.4857,1.5896,30,1.5123,1.5862,1.5896,1.5202,1.5399,1.5549,1.5230,1.5105,1.5152,1.5548,1.5106,1.5043,1.5349,1.4857,1.5101,1.5077,1.5276,1.5193,1.5168,1.5129,1.4899,1.5419,1.5024,1.4946,1.5210,1.4937,1.5276,1.5013,1.5216,1.5149
backprop,c,wasm,0.7745,0.0104,0.7620,0.8080,30,0.7620,0.7650,0.7710,0.7680,0.7740,0.8080,0.7690,0.7700,0.7720,0.7760,0.7680,0.7650,0.7810,0.7690,0.7710,0.7640,0.7640,0.7980,0.7650,0.7920,0.7700,0.7720,0.7760,0.7700,0.7820,0.7830,0.7710,0.7760,0.7840,0.7780
lud,js,browserify,1.2102,0.0246,1.1770,1.2640,30,1.1830,1.2470,1.2060,1.1810,1.2250,1.2230,1.2390,1.2340,1.2030,1.2120,1.2010,1.1780,1.2020,1.1890,1.1770,1.2320,1.2260,1.2040,1.2340,1.2290,1.1810,1.2340,1.2390,1.1790,1.2100,1.1780,1.2200,1.2640,1.1950,1.1820
lud,c,wasm,0.7460,0.0626,0.6780,1.0510,30,0.7350,0.7240,0.7210,0.7440,0.7210,0.7380,0.8200,0.7300,0.7440,0.6780,0.7400,0.6980,0.7320,0.7190,1.0510,0.7230,0.7260,0.7510,0.7630,0.7480,0.7180,0.7350,0.7290,0.7500,0.7410,0.7340,0.7270,0.7350,0.7820,0.7220
bfs,js,browserify,0.2764,0.0134,0.2698,0.3443,30,0.2831,0.2714,0.2761,0.2793,0.2711,0.2703,0.2699,0.2705,0.2714,0.2815,0.2709,0.2719,0.2736,0.2758,0.2772,0.2736,0.2716,0.2700,0.2774,0.2698,0.2758,0.2715,0.2704,0.2794,0.2807,0.2758,0.3443,0.2711,0.2707,0.2771
crc,js,browserify,0.9289,0.0370,0.9018,1.0388,30,0.9323,0.9033,0.9029,0.9264,0.9271,0.9245,0.9286,0.9416,0.9040,0.9058,0.9060,0.9022,0.9018,0.9140,1.0141,1.0328,0.9287,0.9275,0.9079,0.9032,0.9415,0.9276,0.9554,0.9270,0.9310,1.0388,0.9028,0.9040,0.9018,0.9028
bfs,cpp,wasm,0.1140,0.0018,0.1110,0.1180,30,0.1140,0.1140,0.1150,0.1140,0.1120,0.1140,0.1110,0.1180,0.1140,0.1160,0.1140,0.1120,0.1110,0.1150,0.1120,0.1110,0.1160,0.1150,0.1160,0.1150,0.1140,0.1140,0.1140,0.1150,0.1140,0.1170,0.1120,0.1120,0.1140,0.1140
fft,js,browserify,5.0120,0.0868,4.9292,5.1974,30,4.9650,5.1350,4.9714,4.9724,4.9292,4.9465,4.9452,5.1744,4.9294,4.9846,4.9767,4.9874,4.9811,4.9987,4.9619,5.1637,4.9442,5.0470,5.0121,5.1749,4.9650,5.0026,4.9327,5.1226,4.9599,4.9710,4.9293,5.1974,5.1387,4.9398
fft,c,wasm,0.8557,0.0357,0.8160,1.0030,30,0.8330,0.8550,0.9060,0.8580,1.0030,0.8350,0.8320,0.8320,0.8680,0.8400,0.8370,0.8770,0.8350,0.8410,0.8860,0.8880,0.8430,0.8460,0.8640,0.8370,0.8740,0.8330,0.8420,0.8190,0.8270,0.8160,0.8570,0.8490,0.8460,0.8910
crc,c,wasm,0.9461,0.0188,0.8820,0.9800,30,0.9430,0.9560,0.9480,0.9350,0.9640,0.9110,0.9340,0.9420,0.9630,0.9540,0.9430,0.9490,0.9750,0.9460,0.9430,0.9790,0.9380,0.9430,0.9610,0.8820,0.9800,0.9430,0.9560,0.9400,0.9440,0.9510,0.9410,0.9320,0.9420,0.9460
hmm,js,browserify,4.0340,0.0484,3.9728,4.1523,30,4.0719,4.0768,4.1523,3.9955,4.0775,4.0068,3.9748,3.9811,3.9997,4.1008,3.9865,4.0465,4.0064,4.0645,4.0461,4.0191,3.9743,4.0103,4.0908,3.9894,4.0783,4.0369,4.0834,4.0555,3.9728,3.9737,4.0155,4.0993,3.9765,4.0580
