benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
lud,c,gcc-remote,1.9527,0.0053,1.9437,1.9601,10,1.9437,1.9566,1.9481,1.9557,1.9497,1.9547,1.9538,1.9573,1.9601,1.9468
bfs,cpp,g++-remote,0.1084,0.0015,0.1069,0.1117,10,0.1087,0.1076,0.1082,0.1117,0.1069,0.1075,0.1099,0.1089,0.1074,0.1069
backprop,c,gcc-remote,0.4584,0.0015,0.4566,0.4613,10,0.4602,0.4586,0.4582,0.4566,0.4573,0.4589,0.4573,0.4613,0.4568,0.4593
crc,c,gcc-remote,0.7683,0.0015,0.7662,0.7706,10,0.7697,0.7706,0.7668,0.7689,0.7690,0.7662,0.7696,0.7663,0.7675,0.7682
fft,c,gcc-remote,1.5854,0.0057,1.5805,1.6007,10,1.5826,1.6007,1.5880,1.5825,1.5828,1.5838,1.5839,1.5843,1.5850,1.5805
spmv,c,gcc-remote,0.6258,0.0075,0.6149,0.6387,10,0.6321,0.6217,0.6233,0.6318,0.6279,0.6387,0.6153,0.6288,0.6235,0.6149
hmm,c,gcc-remote,1.9010,0.0074,1.8928,1.9162,10,1.9082,1.8969,1.8973,1.8941,1.8928,1.9162,1.9027,1.8992,1.9067,1.8961
lavamd,c,gcc-remote,1.0711,0.0051,1.0647,1.0814,10,1.0647,1.0691,1.0694,1.0664,1.0738,1.0763,1.0680,1.0814,1.0681,1.0737
nw,c,gcc-remote,0.0514,0.0008,0.0503,0.0523,10,0.0503,0.0509,0.0519,0.0520,0.0523,0.0504,0.0505,0.0522,0.0517,0.0519
nqueens,c,gcc-remote,2.7709,0.0068,2.7618,2.7844,10,2.7713,2.7844,2.7618,2.7674,2.7684,2.7770,2.7764,2.7645,2.7712,2.7664
pagerank,c,gcc-remote,0.7031,0.0024,0.6990,0.7067,10,0.7025,0.7067,0.7014,0.7051,0.6990,0.7054,0.7023,0.7010,0.7027,0.7049
srad,c,gcc-remote,3.0779,0.0128,3.0585,3.0976,10,3.0821,3.0689,3.0656,3.0777,3.0881,3.0740,3.0715,3.0585,3.0950,3.0976
