benchmark,implementation,compiler,environment,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,js,browserify,chrome-ipad-pro,8.6003,0.4903,8.3186,9.8662,10,8.3964,8.6298,8.9897,8.3532,8.3186,8.3709,8.3570,8.3695,9.8662,8.3515
bfs,cpp,wasm,chrome-ipad-pro,0.2911,0.0106,0.2830,0.3140,10,0.2840,0.2860,0.2830,0.3140,0.2990,0.2840,0.2840,0.3030,0.2890,0.2850
lud,js,browserify,chrome-ipad-pro,6.3634,0.1454,5.9580,6.4690,10,6.4010,6.4190,6.4100,6.3770,6.4070,5.9580,6.4030,6.3610,6.4290,6.4690
lud,c,wasm,chrome-ipad-pro,7.0495,0.1514,6.9640,7.4740,10,6.9960,6.9640,7.0040,7.0080,7.0650,6.9900,6.9910,7.4740,6.9870,7.0160
backprop,c,wasm,chrome-ipad-pro,0.3985,0.0027,0.3950,0.4040,10,0.3980,0.3990,0.3970,0.3960,0.4020,0.3970,0.4040,0.3980,0.3990,0.3950
crc,js,browserify,chrome-ipad-pro,1.3564,0.0013,1.3540,1.3580,10,1.3580,1.3560,1.3570,1.3570,1.3570,1.3540,1.3550,1.3550,1.3570,1.3580
backprop,js,browserify,chrome-ipad-pro,0.7520,0.0748,0.7032,0.9422,10,0.7206,0.7078,0.7563,0.7657,0.8025,0.9422,0.7064,0.7075,0.7032,0.7075
crc,c,wasm,chrome-ipad-pro,1.6315,0.0028,1.6290,1.6370,10,1.6320,1.6300,1.6290,1.6290,1.6310,1.6300,1.6300,1.6310,1.6370,1.6360
fft,js,browserify,chrome-ipad-pro,0.9171,0.1126,0.8596,1.2202,10,0.8596,0.8662,1.2202,0.9853,0.8806,0.8661,0.8696,0.8712,0.8784,0.8742
fft,c,wasm,chrome-ipad-pro,1.2669,0.0060,1.2610,1.2810,10,1.2660,1.2670,1.2650,1.2620,1.2630,1.2630,1.2610,1.2810,1.2720,1.2690
hmm,js,browserify,chrome-ipad-pro,2.8820,0.0102,2.8725,2.9094,10,2.8725,2.8830,2.8806,2.8835,2.8776,2.8794,2.9094,2.8808,2.8744,2.8789
hmm,c,wasm,chrome-ipad-pro,3.7444,0.0102,3.7260,3.7590,10,3.7480,3.7290,3.7590,3.7440,3.7460,3.7430,3.7540,3.7510,3.7260,3.7440
lavamd,js,browserify,chrome-ipad-pro,1.4646,0.0559,1.4183,1.5654,10,1.5616,1.4259,1.4708,1.5654,1.4274,1.4629,1.4183,1.4674,1.4184,1.4282
lavamd,c,wasm,chrome-ipad-pro,2.5959,0.0650,2.5640,2.7790,10,2.5740,2.5840,2.5640,2.5800,2.5890,2.5660,2.7790,2.5660,2.5700,2.5870
nqueens,js,browserify,chrome-ipad-pro,5.7435,0.0311,5.6710,5.7830,10,5.7390,5.7230,5.7450,5.7750,5.6710,5.7500,5.7510,5.7610,5.7370,5.7830
nqueens,c,wasm,chrome-ipad-pro,6.8299,0.0203,6.7930,6.8460,10,6.8440,6.8110,6.8430,6.8000,6.8390,6.8410,6.8460,6.8420,6.8400,6.7930
nw,js,browserify,chrome-ipad-pro,0.3957,0.0017,0.3937,0.3986,10,0.3969,0.3986,0.3974,0.3949,0.3941,0.3937,0.3951,0.3975,0.3942,0.3949
nw,c,wasm,chrome-ipad-pro,0.2530,0.0011,0.2510,0.2540,10,0.2530,0.2540,0.2520,0.2510,0.2530,0.2530,0.2540,0.2540,0.2540,0.2520
