benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,js,browserify,6.2034,0.1446,5.9464,6.5165,10,6.2180,6.2894,5.9464,6.1963,6.2655,6.1580,6.1434,6.1242,6.5165,6.1767
lud,js,browserify,0.8251,0.0468,0.7850,0.9200,10,0.8130,0.8180,0.8060,0.8130,0.7920,0.9030,0.8000,0.8010,0.7850,0.9200
bfs,cpp,wasm,0.2009,0.0049,0.1920,0.2050,10,0.1920,0.1920,0.2010,0.2050,0.2050,0.2030,0.2030,0.2020,0.2010,0.2050
lud,c,wasm,1.1122,0.0340,1.0840,1.2020,10,1.1010,1.2020,1.0960,1.1080,1.1310,1.0900,1.0990,1.0840,1.1010,1.1100
backprop,js,browserify,0.6436,0.0221,0.6311,0.7055,10,0.7055,0.6406,0.6383,0.6311,0.6320,0.6332,0.6329,0.6404,0.6403,0.6421
backprop,c,wasm,0.3518,0.0148,0.3330,0.3790,10,0.3550,0.3580,0.3640,0.3540,0.3340,0.3790,0.3530,0.3330,0.3550,0.3330
crc,js,browserify,1.2590,0.0008,1.2580,1.2600,10,1.2600,1.2580,1.2590,1.2590,1.2600,1.2580,1.2590,1.2590,1.2600,1.2580
crc,c,wasm,1.1726,0.0008,1.1710,1.1740,10,1.1720,1.1730,1.1720,1.1740,1.1730,1.1720,1.1730,1.1730,1.1710,1.1730
fft,js,browserify,0.7022,0.0086,0.6918,0.7170,10,0.6951,0.7089,0.6974,0.7039,0.6918,0.7035,0.6948,0.7170,0.6961,0.7130
fft,c,wasm,0.8783,0.0093,0.8680,0.9010,10,0.8680,0.8760,0.8750,0.8730,0.8770,0.8700,0.8800,0.8840,0.9010,0.8790
hmm,js,browserify,1.9181,0.0074,1.9104,1.9339,10,1.9164,1.9251,1.9109,1.9104,1.9225,1.9110,1.9153,1.9339,1.9170,1.9184
hmm,c,wasm,2.7628,0.0106,2.7340,2.7720,10,2.7630,2.7670,2.7340,2.7630,2.7670,2.7650,2.7660,2.7720,2.7690,2.7620
lavamd,js,browserify,1.1105,0.0264,1.0741,1.1414,10,1.1414,1.1334,1.0868,1.0809,1.0835,1.0741,1.1219,1.1136,1.1353,1.1342
lavamd,c,wasm,1.4622,0.0119,1.4470,1.4760,10,1.4500,1.4710,1.4470,1.4580,1.4550,1.4740,1.4760,1.4480,1.4670,1.4760
nqueens,js,browserify,4.8143,0.0121,4.7990,4.8390,10,4.8100,4.8100,4.8260,4.7990,4.8160,4.8080,4.8390,4.8240,4.8030,4.8080
nqueens,c,wasm,5.4997,0.1839,5.3720,5.9070,10,5.9070,5.7360,5.5660,5.4680,5.3900,5.3720,5.3970,5.3900,5.3960,5.3750
nw,js,browserify,0.3339,0.0017,0.3298,0.3360,10,0.3350,0.3335,0.3346,0.3346,0.3342,0.3360,0.3341,0.3346,0.3322,0.3298
nw,c,wasm,0.2084,0.0029,0.2040,0.2150,10,0.2150,0.2070,0.2040,0.2070,0.2070,0.2110,0.2080,0.2080,0.2080,0.2090
pagerank,js,browserify,3.2450,0.0321,3.1800,3.2860,10,3.2332,3.2860,3.2618,3.2467,3.2551,3.2333,3.1800,3.2735,3.2096,3.2704
pagerank,c,wasm,0.5848,0.0404,0.5170,0.6310,10,0.6280,0.5670,0.6230,0.6190,0.5470,0.5770,0.5450,0.6310,0.5940,0.5170
srad,js,browserify,2.8092,0.0584,2.7658,2.9480,10,2.7773,2.7818,2.7692,2.7960,2.7658,2.8571,2.9480,2.8468,2.7742,2.7757
srad,c,wasm,3.3439,0.0017,3.3410,3.3470,10,3.3410,3.3430,3.3430,3.3440,3.3440,3.3450,3.3470,3.3420,3.3450,3.3450
spmv,js,browserify,2.2313,0.2677,1.8423,2.4019,10,1.8423,1.8441,1.8435,2.3955,2.4011,2.4019,2.3959,2.3955,2.3965,2.3962
spmv,c,wasm,1.6504,0.0195,1.6110,1.6850,10,1.6850,1.6640,1.6300,1.6560,1.6560,1.6510,1.6490,1.6520,1.6500,1.6110
