benchmark,implementation,compiler,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,js,browserify,6.2665,0.1260,6.0460,6.4207,10,6.3562,6.0879,6.2380,6.0460,6.4207,6.3246,6.3775,6.3193,6.3200,6.1747
bfs,cpp,wasm,0.2009,0.0028,0.1970,0.2050,10,0.1980,0.2010,0.1990,0.2050,0.2020,0.2020,0.2020,0.1980,0.1970,0.2050
lud,js,browserify,0.8251,0.0213,0.7940,0.8750,10,0.7940,0.8130,0.8340,0.8240,0.8750,0.8380,0.8200,0.8230,0.8130,0.8170
lud,c,wasm,1.1039,0.0061,1.0940,1.1160,10,1.0940,1.1020,1.0960,1.1030,1.1060,1.1070,1.1030,1.1050,1.1070,1.1160
backprop,js,browserify,0.6637,0.0322,0.6442,0.7518,10,0.6766,0.7518,0.6531,0.6486,0.6442,0.6591,0.6502,0.6501,0.6516,0.6517
backprop,c,wasm,0.3629,0.0238,0.3390,0.4160,10,0.3760,0.3650,0.3420,0.4160,0.3410,0.3680,0.3740,0.3660,0.3420,0.3390
crc,js,browserify,1.2625,0.0016,1.2600,1.2660,10,1.2630,1.2660,1.2630,1.2630,1.2620,1.2630,1.2620,1.2600,1.2610,1.2620
crc,c,wasm,1.1730,0.0005,1.1720,1.1740,10,1.1730,1.1730,1.1730,1.1730,1.1730,1.1740,1.1730,1.1730,1.1730,1.1720
fft,js,browserify,0.7126,0.0107,0.6998,0.7321,10,0.7296,0.7069,0.7078,0.7082,0.7055,0.7174,0.7321,0.7128,0.6998,0.7060
fft,c,wasm,0.8756,0.0067,0.8690,0.8880,10,0.8810,0.8850,0.8750,0.8730,0.8730,0.8880,0.8700,0.8700,0.8720,0.8690
hmm,js,browserify,1.9043,0.0303,1.8435,1.9297,10,1.9297,1.9208,1.9123,1.8435,1.9232,1.9160,1.8519,1.9152,1.9130,1.9176
hmm,c,wasm,2.7677,0.0041,2.7620,2.7730,10,2.7730,2.7620,2.7620,2.7640,2.7710,2.7670,2.7660,2.7710,2.7710,2.7700
lavamd,js,browserify,1.0931,0.0071,1.0863,1.1094,10,1.1094,1.0879,1.0880,1.0913,1.0927,1.0894,1.0892,1.0985,1.0863,1.0983
lavamd,c,wasm,1.4828,0.0335,1.4480,1.5460,10,1.4480,1.5420,1.4740,1.5460,1.4690,1.4560,1.4740,1.4700,1.4720,1.4770
nqueens,js,browserify,4.8498,0.0209,4.8180,4.8890,10,4.8280,4.8180,4.8490,4.8570,4.8340,4.8430,4.8520,4.8550,4.8890,4.8730
nqueens,c,wasm,5.3832,0.0092,5.3670,5.3920,10,5.3740,5.3760,5.3900,5.3920,5.3900,5.3920,5.3750,5.3670,5.3870,5.3890
nw,js,browserify,0.2405,0.0027,0.2369,0.2451,10,0.2436,0.2404,0.2412,0.2382,0.2451,0.2417,0.2376,0.2415,0.2384,0.2369
nw,c,wasm,0.2070,0.0037,0.2040,0.2140,10,0.2050,0.2090,0.2050,0.2040,0.2060,0.2130,0.2060,0.2140,0.2040,0.2040
pagerank,js,browserify,3.3085,0.0510,3.2356,3.3908,10,3.2356,3.3151,3.3536,3.3424,3.2671,3.2363,3.3908,3.3349,3.2896,3.3194
pagerank,c,wasm,0.6076,0.0288,0.5360,0.6350,10,0.5880,0.6060,0.6070,0.6230,0.6080,0.6240,0.6330,0.5360,0.6160,0.6350
srad,js,browserify,2.7791,0.0091,2.7643,2.7937,10,2.7768,2.7881,2.7739,2.7801,2.7682,2.7937,2.7820,2.7643,2.7870,2.7768
srad,c,wasm,3.3437,0.0016,3.3420,3.3470,10,3.3430,3.3430,3.3440,3.3470,3.3460,3.3430,3.3420,3.3440,3.3430,3.3420
spmv,js,browserify,2.2151,0.1070,2.1152,2.3988,10,2.2969,2.1152,2.1154,2.1185,2.1155,2.1614,2.3988,2.3541,2.2483,2.2268
spmv,c,wasm,1.6346,0.0182,1.6110,1.6560,10,1.6140,1.6550,1.6490,1.6210,1.6560,1.6150,1.6530,1.6370,1.6110,1.6350
