benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,js,browserify,6.2320,0.1385,6.0064,6.5174,10,6.2603,6.2966,6.0064,6.5174,6.1197,6.1877,6.3527,6.2250,6.1788,6.1755
bfs,cpp,wasm,0.1946,0.0035,0.1900,0.2000,10,0.2000,0.2000,0.1940,0.1900,0.1900,0.1930,0.1940,0.1960,0.1960,0.1930
lud,js,browserify,0.8757,0.0602,0.7870,0.9410,10,0.7910,0.7870,0.8030,0.9010,0.8750,0.9040,0.8920,0.9370,0.9260,0.9410
lud,c,wasm,1.6407,1.7246,1.0840,6.5490,10,6.5490,1.0920,1.1040,1.0900,1.0850,1.1190,1.1050,1.0920,1.0870,1.0840
backprop,js,browserify,0.6669,0.0317,0.6274,0.7168,10,0.6337,0.6274,0.6313,0.6916,0.6521,0.7087,0.6675,0.6682,0.6720,0.7168
backprop,c,wasm,0.3464,0.0118,0.3320,0.3590,10,0.3330,0.3330,0.3590,0.3330,0.3320,0.3540,0.3550,0.3540,0.3550,0.3560
crc,js,browserify,1.2841,0.0041,1.2770,1.2900,10,1.2900,1.2850,1.2770,1.2810,1.2820,1.2820,1.2850,1.2880,1.2820,1.2890
crc,c,wasm,1.1727,0.0057,1.1630,1.1860,10,1.1860,1.1740,1.1730,1.1710,1.1630,1.1720,1.1730,1.1730,1.1690,1.1730
fft,js,browserify,0.7848,0.0327,0.7356,0.8608,10,0.7356,0.7647,0.7647,0.7693,0.7921,0.7976,0.8608,0.7979,0.7847,0.7807
fft,c,wasm,0.8647,0.0024,0.8610,0.8690,10,0.8690,0.8650,0.8650,0.8640,0.8640,0.8650,0.8640,0.8620,0.8610,0.8680
hmm,js,browserify,1.9425,0.0069,1.9258,1.9510,10,1.9510,1.9413,1.9441,1.9258,1.9451,1.9474,1.9460,1.9423,1.9449,1.9373
hmm,c,wasm,2.7593,0.0125,2.7290,2.7740,10,2.7640,2.7660,2.7510,2.7670,2.7640,2.7640,2.7530,2.7740,2.7290,2.7610
lavamd,js,browserify,1.1222,0.0276,1.0864,1.1723,10,1.1047,1.1702,1.1201,1.1101,1.1139,1.0864,1.1182,1.1723,1.1084,1.1176
lavamd,c,wasm,1.4687,0.0140,1.4400,1.4850,10,1.4750,1.4740,1.4400,1.4660,1.4780,1.4690,1.4850,1.4690,1.4500,1.4810
nqueens,js,browserify,4.8758,0.0252,4.8370,4.9160,10,4.8800,4.8760,4.8970,4.8370,4.8720,4.8450,4.8790,4.8540,4.9020,4.9160
nqueens,c,wasm,5.3794,0.0133,5.3650,5.3990,10,5.3990,5.3950,5.3690,5.3760,5.3660,5.3720,5.3690,5.3650,5.3910,5.3920
nw,js,browserify,0.2490,0.0139,0.2361,0.2754,10,0.2754,0.2475,0.2603,0.2660,0.2412,0.2361,0.2377,0.2509,0.2374,0.2377
nw,c,wasm,0.2051,0.0007,0.2040,0.2060,10,0.2050,0.2050,0.2060,0.2040,0.2060,0.2050,0.2050,0.2060,0.2040,0.2050
pagerank,js,browserify,3.2609,0.0422,3.2162,3.3376,10,3.2290,3.2517,3.2411,3.2955,3.2165,3.3087,3.3376,3.2321,3.2162,3.2809
pagerank,c,wasm,0.6192,0.0008,0.6180,0.6200,10,0.6190,0.6180,0.6190,0.6180,0.6190,0.6200,0.6200,0.6190,0.6200,0.6200
srad,js,browserify,2.8306,0.0436,2.7905,2.9460,10,2.8089,2.7905,2.8457,2.8037,2.9460,2.8126,2.8204,2.8143,2.8272,2.8366
srad,c,wasm,3.3797,0.0391,3.3400,3.4180,10,3.4160,3.3430,3.4160,3.3440,3.4170,3.3410,3.4170,3.3450,3.4180,3.3400
spmv,js,browserify,2.3003,0.5442,1.8403,3.2397,10,1.8406,1.8403,1.8404,1.8416,3.2397,3.2392,2.4023,2.3965,2.2472,2.1148
spmv,c,wasm,1.6585,0.0379,1.6090,1.7220,10,1.6210,1.6130,1.6760,1.6090,1.6380,1.6800,1.6530,1.6770,1.6960,1.7220
