benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59
bfs,js,browserify,chrome63,0.3478,0.0148,0.3237,0.3753,30,0.3628,0.3567,0.3302,0.3623,0.3668,0.3753,0.3365,0.3689,0.3588,0.3513,0.3616,0.3502,0.3451,0.3542,0.3515,0.3263,0.3261,0.3328,0.3737,0.3237,0.3376,0.3369,0.3506,0.3362,0.3362,0.3499,0.3564,0.3481,0.3368,0.3299
bfs,cpp,wasm,chrome63,0.1945,0.0116,0.1770,0.2240,30,0.1800,0.2000,0.2060,0.1990,0.2140,0.2030,0.1880,0.1980,0.1930,0.1870,0.1920,0.1820,0.1790,0.1980,0.2010,0.1910,0.2170,0.1840,0.1970,0.1910,0.2240,0.1940,0.1830,0.1770,0.1970,0.1860,0.1860,0.1930,0.2100,0.1840
lud,js,browserify,chrome63,3.3140,0.1822,2.9650,3.6620,30,2.9890,3.1030,3.4740,3.1050,3.5070,3.3210,3.3200,3.2830,3.6300,3.3060,3.5250,3.3740,3.5340,3.4530,3.3620,3.1470,3.4590,3.1920,3.1060,3.5080,3.6620,3.4940,3.2000,3.2080,3.1680,3.2100,3.2430,2.9650,3.3330,3.2390
lud,c,wasm,chrome63,2.3506,0.1064,2.2150,2.6370,30,2.2420,2.3540,2.2300,2.4100,2.2560,2.4290,2.2810,2.3370,2.2700,2.3220,2.2440,2.6370,2.5460,2.5360,2.2860,2.3780,2.3260,2.3150,2.4590,2.4280,2.2150,2.3280,2.3280,2.3040,2.3600,2.3730,2.5330,2.2440,2.3040,2.2420
spmv,js,browserify,chrome63,2.1706,0.0300,2.1166,2.2358,30,2.1933,2.2282,2.1725,2.1166,2.1354,2.1644,2.1518,2.1990,2.1363,2.1731,2.1351,2.1987,2.1835,2.1701,2.2358,2.1426,2.1838,2.1509,2.2041,2.1974,2.1955,2.1799,2.1917,2.1609,2.1520,2.1560,2.1235,2.1833,2.1277,2.1758
spmv,c,wasm,chrome63,1.1719,0.0291,1.1260,1.2620,30,1.2090,1.2110,1.1380,1.1710,1.2100,1.1520,1.1290,1.1790,1.1260,1.1660,1.1750,1.1960,1.1460,1.1880,1.1500,1.1850,1.2620,1.1710,1.1790,1.1430,1.1650,1.1740,1.1350,1.1370,1.1730,1.1810,1.1730,1.1760,1.1950,1.1610
backprop,js,browserify,chrome63,1.0397,0.2850,0.7890,1.5089,10,0.7890,0.7972,1.2800,0.9963,1.4785,1.0640,0.8312,0.8545,0.7975,1.5089
backprop,c,wasm,chrome63,0.4914,0.0069,0.4810,0.5040,10,0.4950,0.4860,0.4910,0.5010,0.5040,0.4880,0.4890,0.4810,0.4910,0.4880
crc,js,browserify,chrome63,1.0698,0.0494,1.0420,1.3220,30,1.0800,1.0580,1.0590,1.0470,1.3220,1.0640,1.0900,1.1000,1.0760,1.0570,1.0440,1.0650,1.0650,1.0680,1.0640,1.0710,1.0640,1.0480,1.0440,1.0660,1.0560,1.0620,1.0570,1.0420,1.0600,1.0550,1.0580,1.0500,1.0510,1.0500
crc,c,wasm,chrome63,1.1880,0.0155,1.1630,1.2150,30,1.1910,1.2080,1.2150,1.1850,1.1640,1.1730,1.1850,1.2020,1.2060,1.1850,1.1800,1.1790,1.2040,1.1630,1.1880,1.1820,1.1650,1.1970,1.1990,1.2110,1.1980,1.1730,1.1730,1.1940,1.1850,1.2090,1.2050,1.1810,1.1770,1.1630
fft,js,browserify,chrome63,6.0469,0.2928,5.8859,7.2532,30,6.0054,5.9143,5.9049,5.9282,5.9902,6.2185,6.4667,5.9316,5.9514,7.2532,6.6520,5.9290,6.3904,5.9184,5.8935,5.8910,5.9971,5.9960,5.9396,5.9118,5.8899,5.9700,5.9267,5.9197,5.8859,6.0020,5.9035,6.0045,5.8938,5.9283
fft,c,wasm,chrome63,1.1151,0.0114,1.0860,1.1340,30,1.1190,1.1230,1.1200,1.1110,1.1130,1.1250,1.1140,1.1010,1.1240,1.1010,1.1130,1.1240,1.1330,1.0970,1.1040,1.1210,1.1140,1.1120,1.1260,1.1150,1.0860,1.1340,1.1090,1.1190,1.1060,1.1100,1.1120,1.1320,1.1310,1.1040
hmm,js,browserify,chrome63,4.9263,0.3509,4.3196,5.8110,30,4.6146,4.4030,5.2549,4.9011,5.2085,5.1604,5.2011,4.6715,5.1939,5.1061,4.9600,4.5847,5.3393,5.4398,4.3474,4.6401,4.9309,4.9053,4.3824,4.6811,4.7119,5.1716,5.2152,5.0611,4.9027,4.8534,4.8050,5.8110,4.3196,5.0114
