benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,js,browserify,1.6655,0.2725,1.0570,1.9530,10,1.0570,1.9530,1.8090,1.9240,1.7980,1.5990,1.9030,1.5440,1.5490,1.5190
lud,js,browserify,2.9178,0.0991,2.7600,3.0920,10,2.7600,3.0920,2.8520,2.9640,2.8340,2.9210,2.9110,2.8910,3.0540,2.8990
lud,c,server-wasm,2.0826,0.0390,2.0260,2.1520,10,2.1020,2.1070,2.0570,2.1520,2.0260,2.0970,2.0600,2.0420,2.0640,2.1190
bfs,cpp,server-wasm,0.2143,0.0588,0.1700,0.3670,10,0.2550,0.3670,0.2220,0.1910,0.1820,0.1900,0.1700,0.1890,0.1920,0.1850
spmv,js,browserify,2.1386,0.0279,2.1110,2.2060,10,2.1350,2.1320,2.1430,2.1330,2.1210,2.2060,2.1110,2.1270,2.1150,2.1630
spmv,c,server-wasm,1.0589,0.0098,1.0470,1.0810,10,1.0590,1.0510,1.0670,1.0610,1.0620,1.0530,1.0470,1.0810,1.0550,1.0530
backprop,js,browserify,0.8550,0.0051,0.8460,0.8630,10,0.8530,0.8540,0.8480,0.8570,0.8590,0.8560,0.8630,0.8460,0.8580,0.8560
backprop,c,server-wasm,0.4841,0.0023,0.4820,0.4880,10,0.4820,0.4870,0.4820,0.4830,0.4870,0.4830,0.4830,0.4830,0.4880,0.4830
crc,c,server-wasm,0.9866,0.0099,0.9740,1.0020,10,0.9990,0.9910,0.9890,0.9770,0.9770,0.9740,0.9880,0.9920,0.9770,1.0020
crc,js,browserify,1.0544,0.0115,1.0380,1.0690,10,1.0590,1.0540,1.0380,1.0440,1.0430,1.0690,1.0660,1.0430,1.0650,1.0630
fft,js,browserify,2.5526,0.0186,2.5260,2.5870,10,2.5870,2.5390,2.5300,2.5490,2.5650,2.5470,2.5520,2.5670,2.5260,2.5640
fft,c,server-wasm,1.1016,0.0133,1.0810,1.1160,10,1.0850,1.0810,1.1090,1.0880,1.1110,1.1160,1.1140,1.0930,1.1100,1.1090
hmm,c,server-wasm,2.7365,0.0217,2.7080,2.7800,10,2.7800,2.7420,2.7390,2.7290,2.7080,2.7500,2.7080,2.7520,2.7350,2.7220
lavamd,js,browserify,2.0937,0.1000,2.0500,2.3760,10,2.3760,2.0590,2.0560,2.0600,2.0520,2.0790,2.0630,2.0520,2.0900,2.0500
hmm,js,browserify,4.6197,0.2553,4.2440,5.0410,10,4.6090,4.9110,4.6010,4.3910,4.2440,4.4030,4.8740,5.0410,4.6380,4.4850
lavamd,c,server-wasm,1.3972,0.0109,1.3810,1.4230,10,1.3970,1.3940,1.3980,1.3810,1.4010,1.3920,1.3940,1.4230,1.4020,1.3900
nqueens,js,browserify,7.2149,0.0605,7.1060,7.3170,10,7.2760,7.1060,7.1700,7.1990,7.2350,7.2670,7.3170,7.2000,7.1930,7.1860
nqueens,c,server-wasm,4.7497,0.0216,4.7150,4.7850,10,4.7430,4.7470,4.7850,4.7320,4.7300,4.7500,4.7750,4.7520,4.7680,4.7150
nw,js,browserify,0.3285,0.0036,0.3230,0.3340,10,0.3250,0.3230,0.3280,0.3300,0.3310,0.3290,0.3260,0.3330,0.3260,0.3340
nw,c,server-wasm,0.1626,0.0025,0.1590,0.1660,10,0.1640,0.1630,0.1650,0.1590,0.1630,0.1600,0.1630,0.1640,0.1660,0.1590
pagerank,js,browserify,0.6682,0.0139,0.6510,0.7020,10,0.6630,0.6630,0.6750,0.6510,0.6560,0.6690,0.6660,0.6730,0.6640,0.7020
pagerank,c,server-wasm,0.3994,0.0351,0.3650,0.4780,10,0.3800,0.3650,0.3780,0.3900,0.4380,0.4120,0.3840,0.3690,0.4780,0.4000
srad,js,browserify,7.8094,0.0531,7.7380,7.9200,10,7.8420,7.7440,7.8080,7.7380,7.7920,7.7890,7.9200,7.8130,7.7960,7.8520
srad,c,server-wasm,3.6430,0.0546,3.5670,3.7480,10,3.7090,3.6390,3.6190,3.6150,3.5860,3.6350,3.6380,3.7480,3.5670,3.6740
