benchmark,implementation,compiler,mean(s),std(s),min(s),max(s),repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,cpp,g++-remote,1.7305,0.0052,1.7244,1.7389,10,1.7285,1.7357,1.7255,1.7284,1.7373,1.7389,1.7292,1.7244,1.7253,1.7317
lud,c,gcc-remote,50.4256,2.8528,46.8266,53.1220,10,52.5183,53.1220,52.4403,52.8981,52.7123,52.0401,46.8266,47.0537,47.3052,47.3391
spmv,c,gcc-remote,14.0484,0.0440,13.9895,14.1173,10,14.0730,14.1173,14.0402,14.0948,13.9961,13.9938,14.0483,14.0724,14.0591,13.9895
backprop,c,gcc-remote,4.7061,0.0135,4.6871,4.7246,10,4.7141,4.6899,4.7009,4.7216,4.7080,4.7148,4.6871,4.7099,4.7246,4.6901
crc,c,gcc-remote,3.0807,0.0132,3.0680,3.1006,10,3.0786,3.0726,3.0691,3.1006,3.0963,3.0681,3.0700,3.0680,3.0871,3.0964
fft,c,gcc-remote,9.9350,0.0291,9.9049,9.9816,10,9.9615,9.9112,9.9740,9.9072,9.9049,9.9125,9.9816,9.9473,9.9340,9.9163
hmm,c,gcc-remote,80.2364,0.5340,79.4785,81.3550,10,81.3550,79.4785,80.5077,79.8979,79.8211,80.4738,80.6722,79.9092,80.1014,80.1468
lavamd,c,gcc-remote,14.4871,0.0322,14.4470,14.5363,10,14.4939,14.5123,14.4470,14.4498,14.4747,14.4557,14.5243,14.5072,14.5363,14.4694
nw,c,gcc-remote,0.3584,0.0010,0.3568,0.3598,10,0.3598,0.3568,0.3585,0.3592,0.3597,0.3594,0.3580,0.3573,0.3575,0.3584
pagerank,c,gcc-remote,4.3809,0.0163,4.3456,4.3940,10,4.3933,4.3656,4.3843,4.3902,4.3883,4.3456,4.3940,4.3914,4.3657,4.3901
srad,c,gcc-remote,25.2152,0.8966,24.2902,26.5888,10,24.8831,24.2902,24.9647,24.3102,24.5527,24.3407,26.5888,26.2069,25.8355,26.1788
