benchmark,implementation,compiler,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
fft,c,gcc,1.1289,0.0133,1.1146,1.1559,10,1.1221,1.1212,1.1242,1.1380,1.1407,1.1369,1.1152,1.1559,1.1207,1.1146
backprop,c,gcc,0.4434,0.0016,0.4409,0.4456,10,0.4409,0.4445,0.4448,0.4454,0.4423,0.4431,0.4456,0.4425,0.4422,0.4429
bfs,cpp,g++,0.1044,0.0021,0.1034,0.1103,10,0.1040,0.1034,0.1103,0.1039,0.1035,0.1038,0.1040,0.1037,0.1034,0.1040
hmm,c,gcc,1.8158,0.0286,1.7817,1.8584,10,1.7970,1.7817,1.8505,1.7856,1.8497,1.8584,1.7949,1.8242,1.8160,1.7998
lud,c,gcc,0.6026,0.0290,0.5703,0.6494,10,0.5752,0.5844,0.6321,0.6231,0.5712,0.5859,0.6063,0.6494,0.6284,0.5703
crc,c,gcc,0.7556,0.0434,0.7295,0.8707,10,0.7456,0.7366,0.7435,0.8707,0.7502,0.7295,0.7322,0.7324,0.7831,0.7323
pagerank,c,gcc,0.6023,0.1622,0.1705,0.7113,10,0.1705,0.5839,0.6816,0.7113,0.6813,0.5579,0.6817,0.6826,0.5706,0.7020
srad,c,gcc,2.8692,0.0346,2.8310,2.9532,10,2.8805,2.8582,2.8379,2.9532,2.8781,2.8310,2.8865,2.8628,2.8550,2.8485
lavamd,c,gcc,3.4651,0.0375,3.4261,3.5436,10,3.5436,3.4528,3.4649,3.4261,3.4348,3.4749,3.4307,3.4577,3.4513,3.5139
nqueens,c,gcc,2.7059,0.0378,2.6663,2.7734,10,2.6759,2.6663,2.7115,2.7141,2.6669,2.7131,2.7579,2.6678,2.7125,2.7734
nw,c,gcc,0.1007,0.0073,0.0954,0.1142,10,0.0967,0.0988,0.0955,0.1141,0.0980,0.0973,0.0959,0.1010,0.0954,0.1142
spmv,c,gcc,0.6596,0.0289,0.6275,0.7191,10,0.6573,0.7191,0.6275,0.6877,0.6292,0.6560,0.6504,0.6832,0.6455,0.6399
