benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
bfs,cpp,wasm,microsoft-edge,0.1341,0.0040,0.1310,0.1430,10,0.1390,0.1310,0.1430,0.1330,0.1320,0.1320,0.1360,0.1310,0.1320,0.1320
lud,c,wasm,microsoft-edge,1.9722,0.0255,1.9470,2.0190,10,2.0190,1.9590,1.9630,1.9910,2.0050,1.9810,1.9590,1.9510,1.9470,1.9470
spmv,c,wasm,microsoft-edge,1.0425,0.1439,0.9660,1.4400,10,1.4400,1.0010,0.9740,1.0090,0.9770,0.9660,0.9720,1.0870,1.0000,0.9990
backprop,c,wasm,microsoft-edge,0.3997,0.0013,0.3970,0.4020,10,0.4020,0.4000,0.3990,0.4000,0.4010,0.3990,0.4000,0.3970,0.4000,0.3990
crc,c,wasm,microsoft-edge,0.8844,0.0040,0.8780,0.8900,10,0.8850,0.8900,0.8870,0.8790,0.8830,0.8870,0.8780,0.8820,0.8890,0.8840
fft,c,wasm,microsoft-edge,1.4141,0.0429,1.3850,1.5330,10,1.3920,1.3920,1.4090,1.4170,1.4050,1.4060,1.3960,1.4060,1.3850,1.5330
lavamd,c,wasm,microsoft-edge,1.4900,0.0204,1.4620,1.5320,10,1.4850,1.5000,1.5320,1.4830,1.5090,1.4660,1.4940,1.4840,1.4850,1.4620
nw,c,wasm,microsoft-edge,0.1160,0.0026,0.1130,0.1210,10,0.1130,0.1160,0.1150,0.1170,0.1150,0.1150,0.1140,0.1210,0.1200,0.1140
nqueens,c,wasm,microsoft-edge,4.6108,0.0777,4.5310,4.7420,10,4.5910,4.5990,4.5590,4.6980,4.5430,4.7420,4.5310,4.7140,4.5480,4.5830
pagerank,c,wasm,microsoft-edge,0.7142,0.0054,0.7060,0.7260,10,0.7190,0.7160,0.7120,0.7060,0.7110,0.7120,0.7150,0.7120,0.7260,0.7130
hmm,c,wasm,microsoft-edge,2.0061,0.0232,1.9840,2.0660,10,2.0050,2.0660,1.9900,1.9920,1.9840,1.9910,2.0110,2.0020,2.0080,2.0120
srad,c,wasm,microsoft-edge,3.4286,0.0117,3.451,3.409,10,3.4340,3.4220,3.4380,3.4510,3.4230, 3.4290,3.4240,3.4270,3.4090
