benchmark,implementation,compiler,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29
bfs,js,browserify,0.8924,0.0049,0.8900,0.9070,30,0.9070,0.8910,0.8910,0.8910,0.8900,0.8910,0.9060,0.8910,0.8910,0.8900,0.8910,0.8910,0.8900,0.8910,0.8900,0.8910,0.8910,0.9070,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8910,0.8900,0.8910,0.8900,0.8910
lud,js,browserify,2.0072,0.0588,1.9370,2.1870,30,2.0460,2.1870,1.9840,1.9370,1.9530,2.0000,2.1090,1.9370,1.9370,2.0160,1.9680,1.9530,2.0940,1.9840,2.0000,2.0470,1.9690,1.9840,2.1090,1.9690,2.0470,2.0470,2.0160,1.9690,2.0000,1.9530,2.0000,1.9690,2.0310,2.0000
bfs,cpp,wasm,0.1318,0.0079,0.1250,0.1410,30,0.1250,0.1410,0.1410,0.1250,0.1250,0.1250,0.1250,0.1400,0.1250,0.1250,0.1250,0.1410,0.1410,0.1410,0.1250,0.1250,0.1250,0.1400,0.1400,0.1250,0.1250,0.1410,0.1400,0.1410,0.1250,0.1250,0.1400,0.1250,0.1410,0.1250
lud,c,wasm,1.9406,0.0388,1.8750,2.0000,30,1.8910,1.8760,1.8750,1.8910,1.8750,1.8910,1.8750,1.8910,1.9690,1.9370,2.0000,1.9530,1.9680,1.9680,1.9690,1.9850,1.9690,1.9380,1.9680,1.9680,1.9530,1.9530,1.9370,1.9530,1.9530,1.9220,1.9840,1.9840,1.9680,1.9530
spmv,js,browserify,1.9709,0.0532,1.9060,2.1560,30,1.9370,1.9370,1.9680,1.9370,2.0000,1.9370,1.9530,1.9530,1.9370,1.9680,1.9530,1.9530,1.9530,1.9060,1.9210,1.9370,1.9680,1.9530,1.9530,1.9370,1.9370,2.0620,2.0460,2.0310,2.1560,2.0000,1.9530,2.0460,2.0150,1.9210
spmv,c,wasm,0.9079,0.0112,0.8900,0.9380,30,0.9380,0.8910,0.9060,0.9060,0.9070,0.9220,0.9070,0.9220,0.9220,0.9060,0.8900,0.9380,0.9060,0.8910,0.9060,0.9070,0.9060,0.9060,0.9060,0.9060,0.9060,0.9060,0.8910,0.9070,0.9060,0.9070,0.9060,0.9060,0.9060,0.9060
backprop,js,browserify,0.7616,0.0133,0.7410,0.7800,10,0.7580,0.7420,0.7800,0.7410,0.7740,0.7660,0.7650,0.7520,0.7640,0.7740
backprop,c,wasm,0.3970,0.0037,0.3910,0.4020,10,0.3990,0.3990,0.3930,0.3940,0.4020,0.3910,0.3940,0.3990,0.4010,0.3980
crc,js,browserify,0.9094,0.0063,0.9060,0.9210,30,0.9210,0.9060,0.9060,0.9180,0.9060,0.9210,0.9060,0.9060,0.9210,0.9060,0.9060,0.9060,0.9060,0.9060,0.9210,0.9060,0.9060,0.9060,0.9060,0.9060,0.9060,0.9210,0.9060,0.9060,0.9060,0.9060,0.9210,0.9060,0.9060,0.9060
crc,c,wasm,0.9395,0.0054,0.9370,0.9530,30,0.9380,0.9370,0.9530,0.9370,0.9370,0.9370,0.9530,0.9380,0.9370,0.9380,0.9530,0.9380,0.9370,0.9530,0.9380,0.9370,0.9380,0.9370,0.9370,0.9380,0.9370,0.9370,0.9380,0.9370,0.9380,0.9370,0.9370,0.9370,0.9380,0.9370
fft,c,wasm,0.8932,0.0082,0.8750,0.9060,30,0.8910,0.9060,0.8910,0.9060,0.8910,0.9060,0.8910,0.8900,0.8910,0.9060,0.8910,0.8910,0.8910,0.8910,0.8910,0.8750,0.9060,0.8750,0.8900,0.9060,0.8900,0.9060,0.8900,0.8910,0.8900,0.8900,0.8910,0.8910,0.8900,0.8910
fft,js,browserify,2.0673,0.0204,2.0460,2.1560,30,2.0620,2.0460,2.0780,2.0460,2.0620,2.0620,2.0780,2.0620,2.0460,2.0620,2.0780,2.0460,2.0780,2.0780,2.0780,2.0780,2.0620,2.0620,2.0780,2.0620,2.0780,2.0620,2.0620,2.1560,2.0460,2.0780,2.0460,2.0620,2.0620,2.0620
hmm,js,browserify,3.9533,0.0126,3.9370,3.9840,30,3.9680,3.9680,3.9530,3.9370,3.9370,3.9370,3.9530,3.9530,3.9680,3.9530,3.9530,3.9530,3.9680,3.9530,3.9530,3.9370,3.9370,3.9370,3.9530,3.9680,3.9530,3.9530,3.9680,3.9370,3.9530,3.9840,3.9370,3.9530,3.9680,3.9530
hmm,c,wasm,2.3383,0.0094,2.3130,2.3600,30,2.3290,2.3440,2.3440,2.3290,2.3290,2.3430,2.3290,2.3440,2.3440,2.3440,2.3290,2.3440,2.3440,2.3430,2.3290,2.3440,2.3280,2.3440,2.3280,2.3440,2.3130,2.3440,2.3430,2.3440,2.3440,2.3290,2.3600,2.3440,2.3440,2.3290
lavamd,js,browserify,1.7297,0.0083,1.7180,1.7500,30,1.7180,1.7340,1.7340,1.7180,1.7340,1.7180,1.7180,1.7340,1.7180,1.7340,1.7340,1.7180,1.7340,1.7340,1.7340,1.7340,1.7500,1.7340,1.7340,1.7180,1.7340,1.7340,1.7340,1.7340,1.7340,1.7180,1.7180,1.7340,1.7340,1.7340
